Loc,Item,Size,Description,Botanical Name,Common Name,Product,Zone,Condition,Current Specs,Net Avail Qty,Min Order Qty,List Price,Sale Price,AVL Flag
OR,048745,#5 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,VIN,4,BREAKING DORMANCY,48'' FULL STK,6,5,30,          , 
OR,027211,#1 STAKED,CLEM VIT ETOILE VIOLETTE,Clematis viticella 'Etoile Violette'                        ,Etoile Violette Clematis                                    ,VIN,4,BREAKING DORMANCY,FULL STK,9,10,8.5,          ,I
OR,027301,#1 STAKED,CLEM VIT MADAME JULIA CORREVON,Clematis viticella 'Madame Julia Correvon'                  ,Madame Julia Correvon Clematis                              ,VIN,4,BREAKING DORMANCY,FULL STK,3,10,8.5,          , 
OR,021782,#2 STAKED,CLEM X ARABELLA,Clematis x 'Arabella'                                       ,Arabella Clematis                                           ,VIN,4,BREAKING DORMANCY,1/2 STK,352,5,17,          , 
OR,015905,#5 STAKED,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,VIN,4,BREAKING DORMANCY,48''FULL STK,2,5,28,          , 
OR,027221,#1 STAKED,CLEM X COMTESSE DE BOUCHAUD,Clematis x 'Comtesse de Bouchaud'                           ,Comtesse De Bouchaud Clematis                               ,VIN,4,BREAKING DORMANCY,FULL STK,626,10,8.5,          , 
OR,027225,#5 STAKED,CLEM X COMTESSE DE BOUCHAUD,Clematis x 'Comtesse de Bouchaud'                           ,Comtesse De Bouchaud Clematis                               ,VIN,4,BREAKING DORMANCY,48'' FULL STK,521,5,28,          , 
OR,027011,#1 STAKED,CLEM X ERNEST MARKHAM,Clematis x 'Ernest Markham'                                 ,Ernest Markham Clematis                                     ,VIN,3,BREAKING DORMANCY,FULL STK,1,10,8.5,          , 
OR,027015,#5 STAKED,CLEM X ERNEST MARKHAM,Clematis x 'Ernest Markham'                                 ,Ernest Markham Clematis                                     ,VIN,3,BREAKING DORMANCY,48'' FULL STK,160,5,28,          , 
OR,027021,#1 STAKED,CLEM X GIPSY QUEEN,Clematis x 'Gipsy Queen'                                    ,Gipsy Queen Clematis                                        ,VIN,3,BREAKING DORMANCY,FULL STK,2,10,8.5,          , 
OR,033492,#2 STAKED,CLEM X HANIA,Clematis x 'Hania'                                          ,Hania Clematis                                              ,VIN,4,BREAKING DORMANCY,FULL STK,24,5,17,          , 
OR,034432,#2 STAKED,CLEM X KILIAN DONAHUE,Clematis x 'Kilian Donahue'                                 ,Kilian Donahue Clematis                                     ,VIN,4,BREAKING DORMANCY,FULL STK,7,5,17,          , 
OR,027061,#1 STAKED,CLEM X MULTI-BLUE,Clematis x 'Multi-blue'                                     ,Multi-Blue Clematis                                         ,VIN,4,BREAKING DORMANCY,FULL STK,87,10,8.5,          , 
OR,027065,#5 STAKED,CLEM X MULTI-BLUE,Clematis x 'Multi-blue'                                     ,Multi-Blue Clematis                                         ,VIN,4,BREAKING DORMANCY,FULL STK,49,5,28,          , 
OR,027441,#1 STAKED,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,VIN,4,BREAKING DORMANCY,FULL STK,"1,266",10,8.5,          , 
OR,027442,#2 STAKED,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,VIN,4,BREAKING DORMANCY,FULL STK,78,5,17,          , 
OR,027445,#5 STAKED,CLEM X NELLY MOSER,Clematis x 'Nelly Moser'                                    ,Nelly Moser Clematis                                        ,VIN,4,BREAKING DORMANCY,FULL STK,513,5,28,          , 
OR,027462,#2 STAKED,CLEM X NIOBE,Clematis x 'Niobe'                                          ,Niobe Clematis                                              ,VIN,4,BREAKING DORMANCY,FULL STK,284,5,17,          , 
OR,027465,#5 STAKED,CLEM X NIOBE,Clematis x 'Niobe'                                          ,Niobe Clematis                                              ,VIN,4,BREAKING DORMANCY,4-Mar,35,5,28,          , 
OR,027071,#1 STAKED,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,VIN,4,BREAKING DORMANCY,FULL STK,112,10,8.5,          , 
OR,027075,#5 STAKED,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,VIN,4,BREAKING DORMANCY,48''FULL STK,52,5,28,          , 
OR,027481,#1 STAKED,CLEM X RAMONA,Clematis x 'Ramona'                                         ,Ramona Clematis                                             ,VIN,4,BREAKING DORMANCY,FULL STK,216,10,8.5,          , 
OR,027482,#2 STAKED,CLEM X RAMONA,Clematis x 'Ramona'                                         ,Ramona Clematis                                             ,VIN,4,BREAKING DORMANCY,FULL STK,563,5,17,          , 
OR,027491,#1 STAKED,CLEM X ROUGE CARDINAL,Clematis x 'Rouge Cardinal'                                 ,Rouge Cardinal Clematis                                     ,VIN,4,BREAKING DORMANCY,FULL STK,137,10,8.5,          , 
OR,027492,#2 STAKED,CLEM X ROUGE CARDINAL,Clematis x 'Rouge Cardinal'                                 ,Rouge Cardinal Clematis                                     ,VIN,4,BREAKING DORMANCY,FULL STK,52,5,17,          , 
OR,027495,#5 STAKED,CLEM X ROUGE CARDINAL,Clematis x 'Rouge Cardinal'                                 ,Rouge Cardinal Clematis                                     ,VIN,4,BREAKING DORMANCY,3/4 STK,21,5,28,          , 
OR,026372,#2 STAKED,CLEM X TOKI,Clematis x 'Toki'                                           ,Toki Clematis                                               ,VIN,4,BREAKING DORMANCY,FULL STK,17,5,17,          , 
OR,056212,#2 STAKED,CLEM X WESTERPLATTE,Clematis x 'Westerplatte'                                   ,Westerplatte Clematis                                       ,VIN,4,BREAKING DORMANCY,"3/4"" STK",50,5,17,          , 
