Code,Item Description
000191,ABUTILON VESUVIUS RED
000195,ABUTILON VESUVIUS RED
000195PT,ABUTILON VESUVIUS RED
049741,ABUTILON X HYB CASCADE DAWN
049741S,ABUTILON X HYB CASCADE DAWN
049742,ABUTILON X HYB CASCADE DAWN
049745,ABUTILON X HYB CASCADE DAWN
040025,ACACIA ITEAPHYLLA
049755,ACACIA PRAVISSIMA
049755TR,ACACIA PRAVISSIMA
036115,ACACIA STENOPHYLLA
05901UT,ACAENA INERMIS PURPUREA
089342,ACALYPHA HISPIDA
089332,ACALYPHA TIKI TM PEACH WHIRL
000401,ACANTHUS OAK LEAF
000402,ACANTHUS OAK LEAF
000405,ACANTHUS OAK LEAF
030345,ACER CIR MONROE
021805,ACER CIR PACIFIC FIRE
02180M,ACER CIR PACIFIC FIRE
000415,ACER CIRCINATUM
000415MU,ACER CIRCINATUM
001285,ACER F AUTUMN BLAZE R
00128M,ACER F AUTUMN BLAZE R
000481,ACER GIN RED RHAPSODY R
000485,ACER GIN RED RHAPSODY R
000445,ACER GRISEUM
000447,ACER GRISEUM
000525,ACER JAPONICUM ACONITIFOLIUM
00052M,ACER JAPONICUM ACONITIFOLIUM
000555,ACER NEGUNDO FLAMINGO
036235,ACER NEGUNDO KELLY'S GOLD
030352,ACER PAL AOYAGI
030355,ACER PAL AOYAGI
03035M,ACER PAL AOYAGI
000701,ACER PAL ATROPURPUREUM-S.
000702,ACER PAL ATROPURPUREUM-S.
000705,ACER PAL ATROPURPUREUM-S.
000751,ACER PAL BLOODGOOD
000752,ACER PAL BLOODGOOD
000755,ACER PAL BLOODGOOD
000759,ACER PAL BLOODGOOD
00075M,ACER PAL BLOODGOOD
00075Z,ACER PAL BLOODGOOD
000801,ACER PAL BURGUNDY LACE
000802,ACER PAL BURGUNDY LACE
000805,ACER PAL BURGUNDY LACE
00080M,ACER PAL BURGUNDY LACE
021241,ACER PAL BUTTERFLY
021242,ACER PAL BUTTERFLY
021245,ACER PAL BUTTERFLY
034385,ACER PAL CRAIG FRICK
000951ST,ACER PAL CRIMSON QUEEN
000952,ACER PAL CRIMSON QUEEN
000952ST,ACER PAL CRIMSON QUEEN
000952STLR,ACER PAL CRIMSON QUEEN
000955,ACER PAL CRIMSON QUEEN
000955ST,ACER PAL CRIMSON QUEEN
000959ST,ACER PAL CRIMSON QUEEN
000959STLR,ACER PAL CRIMSON QUEEN
00095M,ACER PAL CRIMSON QUEEN
00095MST,ACER PAL CRIMSON QUEEN
000841,ACER PAL EMPEROR I R
000842,ACER PAL EMPEROR I R
000845,ACER PAL EMPEROR I R
000849,ACER PAL EMPEROR I R
00084M,ACER PAL EMPEROR I R
00084Z,ACER PAL EMPEROR I R
000871ST,ACER PAL EVER RED
000872ST,ACER PAL EVER RED
000875ST,ACER PAL EVER RED
00087MST,ACER PAL EVER RED
033212,ACER PAL KAGIRI NISHIKI
033215,ACER PAL KAGIRI NISHIKI
03321M,ACER PAL KAGIRI NISHIKI
047735,ACER PAL LINEARILOBUM
001042,ACER PAL NIGRUM
001045,ACER PAL NIGRUM
00104M,ACER PAL NIGRUM
029965,ACER PAL OMURAYAMA
018345,ACER PAL OSAKAZUKI
01834M,ACER PAL OSAKAZUKI
001051,ACER PAL OSHIO BENI
001052,ACER PAL OSHIO BENI
001055,ACER PAL OSHIO BENI
00105M,ACER PAL OSHIO BENI
010392ST,ACER PAL RED DRAGON R
010395ST,ACER PAL RED DRAGON R
01039MST,ACER PAL RED DRAGON R
057285MU,ACER PAL RED STEM SEEDLING
001022,ACER PAL SANGOKAKU
001025,ACER PAL SANGOKAKU
001029,ACER PAL SANGOKAKU
00102M,ACER PAL SANGOKAKU
000911,ACER PAL SEIRYU
000912,ACER PAL SEIRYU
000915,ACER PAL SEIRYU
00091M,ACER PAL SEIRYU
001211,ACER PAL SHAINA
001212,ACER PAL SHAINA
001215,ACER PAL SHAINA
031825,ACER PAL SHIN DESHOJO
03182M,ACER PAL SHIN DESHOJO
018331,ACER PAL SHISHIGASHIRA
018332,ACER PAL SHISHIGASHIRA
018335,ACER PAL SHISHIGASHIRA
01833M,ACER PAL SHISHIGASHIRA
033969,ACER PAL TROMPENBURG
03396M,ACER PAL TROMPENBURG
000902,ACER PAL WATERFALL
000902ST,ACER PAL WATERFALL
000905,ACER PAL WATERFALL
000905ST,ACER PAL WATERFALL
000909ST,ACER PAL WATERFALL
00090M,ACER PAL WATERFALL
00090MST,ACER PAL WATERFALL
000651,ACER PALMATUM
000655,ACER PALMATUM
000655MU,ACER PALMATUM
00065MMU,ACER PALMATUM
001135,ACER PLAT CRIMSON KING
017985,ACER PLAT CRIMSON SENTRY
049585,ACER PSEUDO ESKIMO SUNSET
060205,ACER PSEUDOSIEBOLDIANUM
001275,ACER RUB RED SUNSET R
030332,ACER SHIR AUTUMN MOON
030335,ACER SHIR AUTUMN MOON
03033M,ACER SHIR AUTUMN MOON
058241,ACHILLEA APRICOT DLGHT PP18738
05856UT,ACHILLEA MILL APPLEBLOSSOM
00134UT,ACHILLEA MILL PAPRIKA
001341,ACHILLEA MILL PAPRIKA
029061,ACHILLEA MILL RED VELVET
00624UT,ACHILLEA MILL SUMMER BERRIES
006241,ACHILLEA MILL SUMMER BERRIES
02496UT,ACHILLEA MILL SUMMERWINE
024961,ACHILLEA MILL SUMMERWINE
00047UT,ACHILLEA MILL TERRA COTTA
000471,ACHILLEA MILL TERRA COTTA
000511,ACHILLEA OERTEL'S ROSE
000421,ACHILLEA PINK GRAPEFRUIT PPAF
058251,ACHILLEA STRWBRY SDCTN P18401
00056UT,ACHILLEA X CORONATION GOLD
000561,ACHILLEA X CORONATION GOLD
001351,ACHILLEA X MOONSHINE
001391,ACTINIDIA ARG ISSAI (FEMALE)
001395,ACTINIDIA ARG ISSAI (FEMALE)
001461,ACTINIDIA CH TOMURI (MALE)
001465,ACTINIDIA CH TOMURI (MALE)
001411,ACTINIDIA CH VINCENT (FEMALE)
001415,ACTINIDIA CH VINCENT (FEMALE)
001491,ACTINIDIA KOLOMIKTA
001495,ACTINIDIA KOLOMIKTA
056411,ACTINIDIA TETRA VAR MALOIDES
056415,ACTINIDIA TETRA VAR MALOIDES
01837UT,AEGOPODIUM POD VARIEGATUM
075041,AEONIUM ARBORESCENS TIP TOP TM
079092,AEONIUM CANARIENSE
06358UT,AEONIUM KIWI
063581,AEONIUM KIWI
074901,AEONIUM MANRIQUEORUM ZWARTKOP
068732,AEONIUM SUNBURST
068742,AEONIUM TABULIFORME
06352UT,AEONIUM VOODOO
063521,AEONIUM VOODOO
001565,AESCULUS PARVIFLORA
001585,AESCULUS PAVIA
028895,AESCULUS X ARN AUTUMN SPLENDOR
000575,AESCULUS X CARNEA FORT MCNAIR
035281,AGAPANTHUS AFR SUN STRIPE R
035282,AGAPANTHUS AFR SUN STRIPE R
001651,AGAPANTHUS AFRICANUS
001655,AGAPANTHUS AFRICANUS
001701,AGAPANTHUS ALBUS
001705,AGAPANTHUS ALBUS
09957UT,AGAPANTHUS BABY PETE TMPP21705
099571,AGAPANTHUS BABY PETE TMPP21705
050011,AGAPANTHUS BLUE LEAP
050012,AGAPANTHUS BLUE LEAP
001732,AGAPANTHUS BLUE STORM PP14332
001852,AGAPANTHUS GOLD STRIKE
050002,AGAPANTHUS INAPTERUS GRASKOP
070371,AGAPANTHUS MOOD INDIGO
070372,AGAPANTHUS MOOD INDIGO
070375,AGAPANTHUS MOOD INDIGO
001751,AGAPANTHUS PETER PAN
001752,AGAPANTHUS PETER PAN
036992,AGAPANTHUS PETER PAN VARIEGATA
001801,AGAPANTHUS QUEEN ANNE-DIVISION
001805,AGAPANTHUS QUEEN ANNE-DIVISION
070381,AGAPANTHUS RANCHO WHITE
038592,AGAPANTHUS STORM CLOUD
038595,AGAPANTHUS STORM CLOUD
001862,AGAPANTHUS X ELSIE'S GOLD
041082,AGAPANTHUS X MID BLUE SELECTN
041085,AGAPANTHUS X MID BLUE SELECTN
001881,AGAPANTHUS X MIDKNIGHT BLUE R
001882,AGAPANTHUS X MIDKNIGHT BLUE R
001885,AGAPANTHUS X MIDKNIGHT BLUE R
05847UT,AGASTACHE AUR APRICOT SPRITE
058471,AGASTACHE AUR APRICOT SPRITE
079311,AGASTACHE CORONADO R RED
072691,AGASTACHE FOEN GOLDEN JUBILEE
006251,AGASTACHE GRAPE NECTAR TM PPAF
059041,AGASTACHE HEATWAVE PP19662
059042,AGASTACHE HEATWAVE PP19662
006341,AGASTACHE ORANGE NECTAR TM PAF
058511,AGASTACHE RUP APACHE SUNSET
054381,AGASTACHE SUMMER FIESTA PPAF
080081,AGASTACHE SUMMER LOVE PP20510
021251,AGASTACHE X BLUE FORTUNE
021252,AGASTACHE X BLUE FORTUNE
084921,AGASTACHE X BOLERO
074722,AGAVE ATTENUATA RAY OF LIGHT
074725,AGAVE ATTENUATA RAY OF LIGHT
034822,AGAVE BRACTEOSA
074122,AGAVE BRACTEOSA CALAMAR
068762,AGAVE DESMETIANA JOE HOAK
068765,AGAVE DESMETIANA JOE HOAK
027425,AGAVE DESMETTIANA
027429,AGAVE DESMETTIANA
021595,AGAVE DESMETTIANA VARIEGATA
021599,AGAVE DESMETTIANA VARIEGATA
074132,AGAVE DURANGO
070492,AGAVE FERDINAND REGIS
068771S,AGAVE FILIFERA
068772,AGAVE FILIFERA
021612,AGAVE GEMINIFLORA
021615,AGAVE GEMINIFLORA
02161M,AGAVE GEMINIFLORA
068791S,AGAVE NEOMEXICANA
068792,AGAVE NEOMEXICANA
092822,AGAVE OCA X ATT BLUE GLOW
092825,AGAVE OCA X ATT BLUE GLOW
025222,AGAVE PARRYI VAR TRUNCATA
068812,AGAVE POTATORUM KISSHO KAN
025233,AGAVE SCH DURANGO DELIGHT TM
074172,AGAVE UTAHENSIS SSP UTAHENSIS
025242,AGAVE VICTORIA-REGINAE
094365,AGAVE WEBERI
034291TR,AGONIS FLEX AFTER DARK
034295TR,AGONIS FLEX AFTER DARK
08030UT,AJUGA CHOCOLATE CHIP
080301,AJUGA CHOCOLATE CHIP
00189UT,AJUGA REPTANS BRONZE BEAUTY
001891,AJUGA REPTANS BRONZE BEAUTY
00059UT,AJUGA REPTANS BURGUNDY GLOW
000591,AJUGA REPTANS BURGUNDY GLOW
00193UT,AJUGA REPTANS CATLIN'S GIANT
001931,AJUGA REPTANS CATLIN'S GIANT
002591,AKEBIA QUINATA
002591S,AKEBIA QUINATA
002592,AKEBIA QUINATA
002595,AKEBIA QUINATA
002561,AKEBIA QUINATA SHIRO BANA
002561S,AKEBIA QUINATA SHIRO BANA
002562,AKEBIA QUINATA SHIRO BANA
002565,AKEBIA QUINATA SHIRO BANA
001995,ALBIZIA J SUMMER CHOC PP13822
001999,ALBIZIA J SUMMER CHOC PP13822
001965,ALBIZIA JUL OMBRELLA TM
001955,ALBIZIA JUL ROSEA
04868UT,ALCHEMILLA ALPINA
002011,ALCHEMILLA MOLLIS AUSLESE
00067UT,ALCHEMILLA MOLLIS THRILLER
06408UT,ALOE BLUE ELF
064081,ALOE BLUE ELF
064081S,ALOE BLUE ELF
064082,ALOE BLUE ELF
069032,ALOE BREVIFOLIA VARIEGATA
063801,ALOE DOROTHEAE
063802,ALOE DOROTHEAE
079102,ALOE HYBRID ALWAYS RED TM
077801,ALOE HYBRID CARMINE TM
063791,ALOE HYBRID CHRISTMAS CAROL
077811,ALOE HYBRID DONNIE TM
077781,ALOE HYBRID GUIDO TM
077791,ALOE HYBRID SAL TM
079112,ALOE HYBRID SUPER RED R
079122,ALOE MACULATA
075171,ALOE PINK BLUSH
047322,ALOE POLYPHYLLA
064221,ALOE RUDIKOPPE
064221S,ALOE RUDIKOPPE
064222,ALOE RUDIKOPPE
079132,ALOE SAPONARIA
064232,ALOE STRIATA
064235,ALOE STRIATA
069051S,ALOE VARIEGATA
069055,ALOE VARIEGATA
069061,ALOE X SPINOSISSIMA
06389UT,ALOYSIA TRIPHYLLA
002001S,ALPINIA ZERUMBET VARIEGATA
002002,ALPINIA ZERUMBET VARIEGATA
002005,ALPINIA ZERUMBET VARIEGATA
087242,ALST AMINA R PRNCSS LILIES R
021972,ALST ANOUSKA R PS LLS R P15987
087262,ALST ELIANE R PRNCSS LILIES R
055002,ALST FABIANA R PS LLS R P19395
096532,ALST INTICANCHA R BRYCE
096502,ALST INTICANCHA R MACHU
096522,ALST INTICANCHA R NAVAYO
096482,ALST INTICANCHA R PURPLE
096492,ALST INTICANCHA R SUNLIGHT
096542,ALST INTICANCHA R WHITE
096512,ALST INTICANCHA R WHT BLSH PNK
018092,ALST IVANA R PS LLS R P14131
028452,ALST JULIETTA R PS LS R P16039
003292,ALST LETIZIA R PS LLS R P19320
087252,ALST LOUISE R PRNCSS LILIES R
018082,ALST OXANA R PS LLS R P14075
018072,ALST PAOLA R PS LLS R P11145
066382,ALST ROCK AND ROLL R PP21001
018252,ALST SARA R PS LLS R P14080
055152,ALST THRSA R PRNCS LS R P18055
040311,ALYOGYNE LEON'S PUR DELIGHT TM
040315,ALYOGYNE LEON'S PUR DELIGHT TM
040315PT,ALYOGYNE LEON'S PUR DELIGHT TM
040315ST,ALYOGYNE LEON'S PUR DELIGHT TM
002381,ALYOGYNE PURPLE DELIGHT TM
002385,ALYOGYNE PURPLE DELIGHT TM
002385PT,ALYOGYNE PURPLE DELIGHT TM
002421,ALYOGYNE SANTA CRUZ
002425,ALYOGYNE SANTA CRUZ
002425PT,ALYOGYNE SANTA CRUZ
002425ST,ALYOGYNE SANTA CRUZ
021421,ALYSSUM SAX GOLDKUGEL
002535,AMEL AUTUMN BRILLIANCE R
070541,AMSONIA BLUE ICE
035341,AMSONIA HUBRICHTII
01663UT,ANDROMEDA POL BLUE ICE
016631,ANDROMEDA POL BLUE ICE
016632,ANDROMEDA POL BLUE ICE
00257UT,ANDROSACE LANUGINOSA
002571,ANDROSACE LANUGINOSA
047861,ANEMONE MULTIFIDA RUBRA
00074UT,ANEMONE PULSATILLA
065991,ANEMONE SEPTEMBER CHARM
002741,ANEMONE SYLVESTRIS
000761,ANEMONE VIT ROBUSTISSIMA
026961,ANEMONE X ANDREA ATKINSON
015931,ANEMONE X HONORINE JOBERT
038561,ANEMONE X SERENADE
039021,ANEMONE X WILD SWAN TM PP23132
039022,ANEMONE X WILD SWAN TM PP23132
045461,ANIGOZANTHOS BUSH PEARL
047341,ANIGOZANTHOS BUSH SUNSET
077521,ANISO SLIGHTLY STRAWBERRY PPAF
002651,ANTIGONON LEPTOPUS
05908UT,AQUILEGIA C LITTLE LANTERNS
037331,AQUILEGIA CAE ORIGAMI BLU & WT
029351,AQUILEGIA CAE ORIGAMI MIX
045921,AQUILEGIA CAE ORIGAMI PNK & WT
036901,AQUILEGIA CAE ORIGAMI RED & WT
04593UT,AQUILEGIA CAE ORIGAMI YELLOW
045931,AQUILEGIA CAE ORIGAMI YELLOW
075831,AQUILEGIA CANADENSIS
00272UT,AQUILEGIA FLA CAMEO BLUE & WT
020891,AQUILEGIA TEXAS GOLD
05909UT,AQUILEGIA WINKY DBL RED & WT
055482,ARALIA CORDATA GOTEMBA
055485,ARALIA CORDATA GOTEMBA
044359,ARAUCARIA ARAUCANA
002901,ARBUTUS UNEDO COMPACTA
002905,ARBUTUS UNEDO COMPACTA
00290M,ARBUTUS UNEDO COMPACTA
002921,ARBUTUS X MARINA
002925MU,ARBUTUS X MARINA
069071,ARCTO RAVERS R ARC OF FIRE TM
077531,ARCTO RAVERS R BUMBLE BEE
069091,ARCTO RAVERS R CHERRY FROST TM
069111,ARCTO RAVERS R PEACHY MANGO TM
069121,ARCTO RAVERS R PUMPKIN PIE TM
077541,ARCTO RAVERS R STRAWBRY FIELDS
00295UT,ARCTOSTAPHYLOS MASSACHUSETTS
002951,ARCTOSTAPHYLOS MASSACHUSETTS
002911,ARDISIA J CHIRIMEN
002912,ARDISIA J CHIRIMEN
018291,ARDISIA J MIDGEE R
018292,ARDISIA J MIDGEE R
051811,ARISAEMA FORMOSANUM (7057)
051822,ARISAEMA TAIWANENSIS (7091)
00304UT,ARMERIA MAR BLOODSTONE
003041,ARMERIA MAR BLOODSTONE
00269UT,ARMERIA MAR COTTON TAIL
002691,ARMERIA MAR COTTON TAIL
01946UT,ARMERIA MAR RUBRIFOLIA
019461,ARMERIA MAR RUBRIFOLIA
00089UT,ARMERIA MAR SPLENDENS
003071,ARONIA BRILLIANTISSIMA
003075,ARONIA BRILLIANTISSIMA
003075MU,ARONIA BRILLIANTISSIMA
07593UT,ARTEMISIA DRACUNCULUS
00311UT,ARTEMISIA POWIS CASTLE
003111,ARTEMISIA POWIS CASTLE
00101UT,ARTEMISIA SCHM SILVER MOUND
001011,ARTEMISIA SCHM SILVER MOUND
033591,ASARUM EUROPAEUM
02912UT,ASARUM SPL QUICKSILVER
029121,ASARUM SPL QUICKSILVER
066341,ASCLEPIAS CUR SILKY GOLD
066342,ASCLEPIAS CUR SILKY GOLD
023592,ASCLEPIAS INCARNATA CINDERELLA
021911,ASCLEPIAS RED BUTTERFLIES
021912,ASCLEPIAS RED BUTTERFLIES
003161S,ASCLEPIAS TUBEROSA
00315UT,ASPARAGUS MYERS
003151,ASPARAGUS MYERS
003152,ASPARAGUS MYERS
003155,ASPARAGUS MYERS
003301,ASPARAGUS SPR COMPACTA
003451,ASPIDISTRA ELATIOR
003452,ASPIDISTRA ELATIOR
05185UT,ASTELIA CHATHAMICA
003401,ASTER ALMA POTSCHKE
030091,ASTER FARMINGTON PPAF
030091S,ASTER FARMINGTON PPAF
003381,ASTER FRIKARTII MOENCH
021361,ASTER LAT PRINCE
059141,ASTER NA ENGLISH COUNTRYSIDE
003391,ASTER NOVI-BELGII ALERT
003471,ASTER PROF KIPPENBURG
003411,ASTER PURPLE DOME
003611,ASTER TRIUMPH
023891,ASTER WOOD'S BLUE
001531,ASTER WOOD'S PINK
025581,ASTER WOOD'S PURPLE
00159UT,ASTILBE BRIDAL VEIL
001591,ASTILBE BRIDAL VEIL
003521,ASTILBE CHINENSIS PUMILA
003621,ASTILBE CHINENSIS VISIONS
027551,ASTILBE CLR FLSH R LIME P17816
027501,ASTILBE COLOR FLASH R PP17343
00351UT,ASTILBE DEUTSCHLAND
003511,ASTILBE DEUTSCHLAND
00350UT,ASTILBE FANAL
003501,ASTILBE FANAL
001621,ASTILBE GRANAT
00163UT,ASTILBE HENNIE GRAAFLAND
001631,ASTILBE HENNIE GRAAFLAND
00348UT,ASTILBE INSHRIACH PINK
003481,ASTILBE INSHRIACH PINK
001641,ASTILBE JAPONICA EUROPA
001661,ASTILBE JAPONICA PEACH BLOSSOM
034331,ASTILBE MAGGIE DALEY
001671,ASTILBE MONTGOMERY
001681,ASTILBE RED SENTINEL
00354UT,ASTILBE RHEINLAND
003541,ASTILBE RHEINLAND
00353UT,ASTILBE SPRITE
059151,ASTILBE VISION IN PINK PP11860
016341,ASTILBE VISION IN RED PP11965
017601,ASTILBE VISION IN WHITE P18965
037391,ASTILBE WHT SENSATION PP18462
003431,ASTILBE YOUNIQUE WHT TM P19845
023191,ASTRANTIA ABBEY ROAD PP14961
003551,AUBRIETA ROKEY'S PURPLE
063302,AUCUBA J NA55288
003561,AUCUBA MR GOLDSTRIKE
003562,AUCUBA MR GOLDSTRIKE
003565,AUCUBA MR GOLDSTRIKE
003567,AUCUBA MR GOLDSTRIKE
003601,AUCUBA PICTURATA
003602,AUCUBA PICTURATA
003605,AUCUBA PICTURATA
003607,AUCUBA PICTURATA
003651,AUCUBA SERRATIFOLIA
003655,AUCUBA SERRATIFOLIA
078761S,AZ BLM-A-THON TM DB PK PP21477
078762S,AZ BLM-A-THON TM DB PK PP21477
078751S,AZ BLM-A-THON TM LVNDR PP21476
078752S,AZ BLM-A-THON TM LVNDR PP21476
078771S,AZ BLM-A-THON TM RED PP21562
078772S,AZ BLM-A-THON TM RED PP21562
078781S,AZ BLM-A-THON TM WHITE PP21512
078782S,AZ BLM-A-THON TM WHITE PP21512
004401,AZALEA B ALASKA
004402,AZALEA B ALASKA
004402PT,AZALEA B ALASKA
004405,AZALEA B ALASKA
004405PT,AZALEA B ALASKA
004751,AZALEA B HAPPY DAYS
004752,AZALEA B HAPPY DAYS
004752PT,AZALEA B HAPPY DAYS
004755,AZALEA B HAPPY DAYS
005251,AZALEA B ROSE GLOW
005252,AZALEA B ROSE GLOW
005252PT,AZALEA B ROSE GLOW
007072,AZALEA EX CANNON'S DOUBLE
007075,AZALEA EX CANNON'S DOUBLE
007242,AZALEA EX DAWN'S CHORUS
007245,AZALEA EX DAWN'S CHORUS
007772,AZALEA EX GOLDEN FLARE
007775,AZALEA EX GOLDEN FLARE
008302,AZALEA EX KLONDYKE
008305,AZALEA EX KLONDYKE
008542,AZALEA EX RED SUNSET
008545,AZALEA EX RED SUNSET
008552,AZALEA EX SUNSET PINK
008555,AZALEA EX SUNSET PINK
047652,AZALEA FRAGRANT STAR
047655,AZALEA FRAGRANT STAR
001811,AZALEA GA KAREN
001812,AZALEA GA KAREN
008451,AZALEA GA ROSEBUD
008452,AZALEA GA ROSEBUD
007232,AZALEA GD DELAWARE VALLEY WHT
001822,AZALEA GD FASHION
002031,AZALEA GD RENEE MICHELLE
002032,AZALEA GD RENEE MICHELLE
007401,AZALEA GR FUCHSIA
007402,AZALEA GR FUCHSIA
007402PT,AZALEA GR FUCHSIA
007451,AZALEA GR GIRARD HOT SHOT
007452,AZALEA GR GIRARD HOT SHOT
007551,AZALEA GR GIRARD ROBERTA
007552,AZALEA GR GIRARD ROBERTA
007601,AZALEA GR ROSE
007602,AZALEA GR ROSE
007602PT,AZALEA GR ROSE
002052,AZALEA GR SAYBROOK GLORY
002071,AZALEA GR SILVER SWORD
002072,AZALEA GR SILVER SWORD
008001,AZALEA KF HERBERT
008002,AZALEA KF HERBERT
008202,AZALEA KF HOLLAND
007191,AZALEA KR CORAL BELLS
008151,AZALEA KR HINO CRIMSON
008152,AZALEA KR HINO CRIMSON
002092,AZALEA KR TRADITION
007782,AZALEA NL GOLDEN LIGHTS
008362,AZALEA NL MANDARIN LIGHTS
008382,AZALEA NL ROSY LIGHTS
002132,AZALEA S AMAGASA
005601,AZALEA S BRILLIANT
005602,AZALEA S BRILLIANT
005605,AZALEA S BRILLIANT
005605PT,AZALEA S BRILLIANT
005605PTS,AZALEA S BRILLIANT
00560M,AZALEA S BRILLIANT
005651,AZALEA S DUC DE ROHAN
005655,AZALEA S DUC DE ROHAN
002143,AZALEA S FORMOSA
005751,AZALEA S GEORGE L TABER
005753,AZALEA S GEORGE L TABER
005755,AZALEA S GEORGE L TABER
005755PT,AZALEA S GEORGE L TABER
005951,AZALEA S IMP PRINCESS TM
005955,AZALEA S IMP PRINCESS TM
006001,AZALEA S IMP QUEEN TM
006002,AZALEA S IMP QUEEN TM
006101,AZALEA S L J BOBBINK
006102,AZALEA S L J BOBBINK
006105,AZALEA S L J BOBBINK
006051,AZALEA S LITTLE JOHN
006055,AZALEA S LITTLE JOHN
006055PT,AZALEA S LITTLE JOHN
004831,AZALEA S MISTRAL
004831PT,AZALEA S MISTRAL
004832,AZALEA S MISTRAL
004835,AZALEA S MISTRAL
004835PT,AZALEA S MISTRAL
006151,AZALEA S NUCCIO'S CARNIVAL
006155,AZALEA S NUCCIO'S CARNIVAL
006301,AZALEA S PHOENICIA
006302,AZALEA S PHOENICIA
006305,AZALEA S PHOENICIA
006305PT,AZALEA S PHOENICIA
006305PTS,AZALEA S PHOENICIA
00630M,AZALEA S PHOENICIA
006401,AZALEA S RED RUFFLES
006402,AZALEA S RED RUFFLES
006402PT,AZALEA S RED RUFFLES
006405,AZALEA S RED RUFFLES
006501,AZALEA S SOUTHERN CHARM
006505,AZALEA S SOUTHERN CHARM
006505PT,AZALEA S SOUTHERN CHARM
00650M,AZALEA S SOUTHERN CHARM
007361,AZALEA SK GETSUTOKU
007802,AZALEA SK GUMPO PINK
007852,AZALEA SK GUMPO WHITE
008102,AZALEA SK HIGASA
008271,AZALEA SK JUKO
008421,AZALEA SK NUCCIO'S WILD CHERRY
008422,AZALEA SK NUCCIO'S WILD CHERRY
008511,AZALEA SK SHUGETSU
008512,AZALEA SK SHUGETSU
028573,AZALEA SK TOMA NO HADA
049782,AZARA MICRO VARIEGATA
049785,AZARA MICRO VARIEGATA
049775,AZARA MICROPHYLLA
049795,AZARA SERRATA ANDEAN GOLD TM
078461,BACCHARIS MAGELLANICA
035535,BAM-BORINDA ANGUSTISSIMA(CLMP)
053491,BAM-BORINDA BOLIANA (CLUMP)
053492,BAM-BORINDA BOLIANA (CLUMP)
053495,BAM-BORINDA BOLIANA (CLUMP)
011385,BAMBUSA GOLDEN GODDESS (CLUMP)
011365,BAMBUSA M ALPHONSE KARR(CLUMP)
011369,BAMBUSA M ALPHONSE KARR(CLUMP)
011315,BAMBUSA OLDHAMII (CLUMP)
011317,BAMBUSA OLDHAMII (CLUMP)
011325,BAMBUSA TULDOIDES (CLUMP)
011327,BAMBUSA TULDOIDES (CLUMP)
011329,BAMBUSA TULDOIDES (CLUMP)
011335,BAMBUSA VENTRICOSA (CLUMP)
011337,BAMBUSA VENTRICOSA (CLUMP)
057112,BAM-FARGESIA N JIUZHAIGOU(CLP)
025212,BAM-FARGESIA RUFA (CLUMP)
025215,BAM-FARGESIA RUFA (CLUMP)
011405,BAM-OTATEA AC AZTECTORUM (CLP)
011407,BAM-OTATEA AC AZTECTORUM (CLP)
011425,BAM-PHYLLO AUREA (RUN)
