Branch,Item,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
170000,064011,PASSIFLORA X LAVENDER LADY,VIN,"1,623",0,37,30,7,$8.00 ,,,
170000,066601,POLYGONUM AUBERTII,VIN,"2,361",107,9,0,116,$7.50 ,,,
170000,066605,POLYGONUM AUBERTII,VIN,722,0,3,0,3,$22.25 ,,,
160000,071021,SCHIZOPHRAGMA HYD MOONLIGHT,VIN,"1,083",188,0,0,188,$8.00 ,,,
160000,071025,SCHIZOPHRAGMA HYD MOONLIGHT,VIN,486,0,10,0,10,$27.00 ,,,
170000,070901,SOLANUM JASMINOIDES,VIN,"1,113",96,0,0,96,$7.75 ,,,
170000,022142,THUNBERGIA AL BLUSHING SUSIE,VIN,545,3,0,0,3,$16.50 ,,,
170000,070051ST,TRACH JASMINOIDES,VIN,599,599,600,260,599,$6.75 ,,4/1/2014,
550000,070051ST,TRACH JASMINOIDES,VIN,"2,970","2,595",69,90,"2,595",$6.75 ,,4/15/2014,
170000,070052ST,TRACH JASMINOIDES,VIN,"7,252",0,222,246,0,$15.75 ,,,
170000,070055ES,TRACH JASMINOIDES,VIN,599,0,25,21,4,$55.00 ,,,
170000,070055ST,TRACH JASMINOIDES,VIN,355,0,237,217,20,$22.00 ,,4/1/2014,
170000,012731,TRACH JASMINOIDES MADISON,VIN,"1,840",448,0,0,448,$5.50 ,,,
550000,012731ST,TRACH JASMINOIDES MADISON,VIN,"1,462",0,10,0,10,$6.75 ,,4/1/2014,
170000,076311,VITIS LAB CATAWBA,VIN,"2,881",0,10,0,10,$8.00 ,,,
170000,076315,VITIS LAB CATAWBA,VIN,12,2,0,10,2,$22.00 ,,5/1/2014,
170000,076221,VITIS LAB EASTERN CONCORD,VIN,261,0,10,0,10,$8.00 ,,4/15/2014,
170000,076251,VITIS LAB NIAGARA,VIN,"4,631",0,20,10,10,$8.00 ,,,
170000,067511S,VITIS VIN CABERNET SAUVIGNON,VIN,906,413,0,0,413,$9.50 ,,3/1/2014,
170000,067521S,VITIS VIN CHARDONNAY,VIN,972,417,0,0,417,$9.50 ,,3/1/2014,
170000,067531S,VITIS VIN MERLOT,VIN,"1,508",954,0,0,954,$9.50 ,,3/1/2014,
170000,067541S,VITIS VIN PINOT NOIR,VIN,"2,688","1,930",0,0,"1,930",$9.50 ,,3/1/2014,
170000,076331,VITIS VIN RUBY SEEDLESS,VIN,"5,143","2,515",0,0,"2,515",$8.00 ,,,
170000,076335,VITIS VIN RUBY SEEDLESS,VIN,81,71,0,0,71,$22.00 ,,5/1/2014,
170000,067551S,VITIS VIN ZINFANDEL,VIN,581,392,0,0,392,$9.50 ,,3/1/2014,
170000,076701,WISTERIA FL ROSEA,VIN,"2,605",0,35,0,35,$8.00 ,,,
170000,076705,WISTERIA FL ROSEA,VIN,"1,046",0,11,10,1,$21.00 ,,,
170000,076775,WISTERIA FL TEXAS PURPLE,VIN,"1,743",0,14,5,9,$21.00 ,,,
550000,076775,WISTERIA FL TEXAS PURPLE,VIN,674,0,5,0,5,$21.00 ,,4/1/2014,
160000,076811,WISTERIA FRU AMETHYST FALLS,VIN,"1,102",0,12,10,2,$8.50 ,,,
160000,076815,WISTERIA FRU AMETHYST FALLS,VIN,868,0,5,5,0,$22.00 ,,5/1/2014,
170000,076815,WISTERIA FRU AMETHYST FALLS,VIN,237,0,36,21,15,$22.00 ,,,
550000,076815,WISTERIA FRU AMETHYST FALLS,VIN,932,0,30,29,1,$22.00 ,,3/1/2014,
170000,017341,WISTERIA MAC BLUE MOON,VIN,"2,447",0,18,0,18,$8.50 ,,,
170000,017345,WISTERIA MAC BLUE MOON,VIN,"1,477",0,41,20,21,$22.00 ,,,
170000,076851,WISTERIA SINENSIS,VIN,"3,399",191,10,0,201,$7.00 ,,,
170000,076855,WISTERIA SINENSIS,VIN,693,4,9,5,8,$19.75 ,,4/1/2014,
550000,076855,WISTERIA SINENSIS,VIN,520,285,0,5,285,$19.75 ,,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,
