Item#,Item#,Size,Size Description,Item Description,Common
000951ST,95,1ST,#1 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000952,95,2,#2,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000952ST,95,2ST,#2 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000952STLR,95,2STL,#2 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000955,95,5,#5,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000955ST,95,5ST,#5 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000959ST,95,9ST,#15 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000959STLR,95,9STL,#15 STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
00095M,95,M,#10 Squat,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
00095MST,95,MST,#10 Squat STAKED,ACER PAL CRIMSON QUEEN,Crimson Queen Japanese Maple
000841,84,1,#1,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple
000842,84,2,#2,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple
000845,84,5,#5,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple
000849,84,9,#15,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple
00084M,84,M,#10 Squat,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple
00084Z,84,Z,#25,ACER PAL EMPEROR I R,Emperor I ® Japanese Maple
000871ST,87,1ST,#1 STAKED,ACER PAL EVER RED,Ever Red Japanese Maple
000872ST,87,2ST,#2 STAKED,ACER PAL EVER RED,Ever Red Japanese Maple
000875ST,87,5ST,#5 STAKED,ACER PAL EVER RED,Ever Red Japanese Maple
00087MST,87,MST,#10 Squat STAKED,ACER PAL EVER RED,Ever Red Japanese Maple
033212,3321,2,#2,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple
033215,3321,5,#5,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple
03321M,3321,M,#10 Squat,ACER PAL KAGIRI NISHIKI,Kagiri Nishiki Japanese Maple
047735,4773,5,#5,ACER PAL LINEARILOBUM,
001042,104,2,#2,ACER PAL NIGRUM,Black Japanese Maple
001045,104,5,#5,ACER PAL NIGRUM,Black Japanese Maple
00104M,104,M,#10 Squat,ACER PAL NIGRUM,Black Japanese Maple
029965,2996,5,#5,ACER PAL OMURAYAMA,
018345,1834,5,#5,ACER PAL OSAKAZUKI,Osakazuki Japanese Maple
01834M,1834,M,#10 Squat,ACER PAL OSAKAZUKI,Osakazuki Japanese Maple
001051,105,1,#1,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple
001052,105,2,#2,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple
001055,105,5,#5,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple
00105M,105,M,#10 Squat,ACER PAL OSHIO BENI,Oshio-Beni Japanese Maple
010392ST,1039,2ST,#2 STAKED,ACER PAL RED DRAGON R,Red Dragon ® Japanese Maple
010395ST,1039,5ST,#5 STAKED,ACER PAL RED DRAGON R,Red Dragon ® Japanese Maple
01039MST,1039,MST,#10 Squat STAKED,ACER PAL RED DRAGON R,Red Dragon ® Japanese Maple
057285MU,5728,5MU,#5 CLUMP,ACER PAL RED STEM SEEDLING,Red Stem Japanese Maple
001022,102,2,#2,ACER PAL SANGOKAKU,Coral Bark Japanese Maple
001025,102,5,#5,ACER PAL SANGOKAKU,Coral Bark Japanese Maple
001029,102,9,#15,ACER PAL SANGOKAKU,Coral Bark Japanese Maple
00102M,102,M,#10 Squat,ACER PAL SANGOKAKU,Coral Bark Japanese Maple
000911,91,1,#1,ACER PAL SEIRYU,Seiryu Japanese Maple
000912,91,2,#2,ACER PAL SEIRYU,Seiryu Japanese Maple
000915,91,5,#5,ACER PAL SEIRYU,Seiryu Japanese Maple
00091M,91,M,#10 Squat,ACER PAL SEIRYU,Seiryu Japanese Maple
001211,121,1,#1,ACER PAL SHAINA,Shaina Japanese Maple
001212,121,2,#2,ACER PAL SHAINA,Shaina Japanese Maple
001215,121,5,#5,ACER PAL SHAINA,Shaina Japanese Maple
031825,3182,5,#5,ACER PAL SHIN DESHOJO,Deshojo Japanese Maple
03182M,3182,M,#10 Squat,ACER PAL SHIN DESHOJO,Deshojo Japanese Maple
018331,1833,1,#1,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple
018332,1833,2,#2,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple
018335,1833,5,#5,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple
01833M,1833,M,#10 Squat,ACER PAL SHISHIGASHIRA,Shishigashira Japanese Maple
033969,3396,9,#15,ACER PAL TROMPENBURG,Trompenburg Japanese Maple
03396M,3396,M,#10 Squat,ACER PAL TROMPENBURG,Trompenburg Japanese Maple
000902,90,2,#2,ACER PAL WATERFALL,Waterfall Japanese Maple
000902ST,90,2ST,#2 STAKED,ACER PAL WATERFALL,Waterfall Japanese Maple
000905,90,5,#5,ACER PAL WATERFALL,Waterfall Japanese Maple
000905ST,90,5ST,#5 STAKED,ACER PAL WATERFALL,Waterfall Japanese Maple
000909ST,90,9ST,#15 STAKED,ACER PAL WATERFALL,Waterfall Japanese Maple
00090M,90,M,#10 Squat,ACER PAL WATERFALL,Waterfall Japanese Maple
00090MST,90,MST,#10 Squat STAKED,ACER PAL WATERFALL,Waterfall Japanese Maple
000651,65,1,#1,ACER PALMATUM,Japanese Maple
000655,65,5,#5,ACER PALMATUM,Japanese Maple
000655MU,65,5MU,#5 CLUMP,ACER PALMATUM,Japanese Maple
00065MMU,65,MMU,#10 Squat CLUMP,ACER PALMATUM,Japanese Maple
001135,113,5,#5,ACER PLAT CRIMSON KING,Crimson King Norway Maple
017985,1798,5,#5,ACER PLAT CRIMSON SENTRY,Crimson Sentry Norway Maple
049585,4958,5,#5,ACER PSEUDO ESKIMO SUNSET,Eskimo Sunset Sycamore Maple
060205,6020,5,#5,ACER PSEUDOSIEBOLDIANUM,Korean Maple
001275,127,5,#5,ACER RUB RED SUNSET R,Red Sunset ® Red Maple
030332,3033,2,#2,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple
030335,3033,5,#5,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple
03033M,3033,M,#10 Squat,ACER SHIR AUTUMN MOON,Autumn Moon Fullmoon Maple
058241,5824,1,#1,ACHILLEA APRICOT DLGHT PP18738,Tutti Frutti Apricot Delight Yarrow
05856UT,5856,UT,LittleOne,ACHILLEA MILL APPLEBLOSSOM,Appleblossom Yarrow
00134UT,134,UT,LittleOne,ACHILLEA MILL PAPRIKA,Paprika Common Yarrow
001341,134,1,#1,ACHILLEA MILL PAPRIKA,Paprika Common Yarrow
029061,2906,1,#1,ACHILLEA MILL RED VELVET,Red Velvet Yarrow
00624UT,624,UT,LittleOne,ACHILLEA MILL SUMMER BERRIES,Summer Berries Yarrow
006241,624,1,#1,ACHILLEA MILL SUMMER BERRIES,Summer Berries Yarrow
02496UT,2496,UT,LittleOne,ACHILLEA MILL SUMMERWINE,Summerwine Common Yarrow
024961,2496,1,#1,ACHILLEA MILL SUMMERWINE,Summerwine Common Yarrow
00047UT,47,UT,LittleOne,ACHILLEA MILL TERRA COTTA,Terra Cotta Common Yarrow
000471,47,1,#1,ACHILLEA MILL TERRA COTTA,Terra Cotta Common Yarrow
000511,51,1,#1,ACHILLEA OERTEL'S ROSE,Oertel's Rose Yarrow
000421,42,1,#1,ACHILLEA PINK GRAPEFRUIT PPAF,Tutti Frutti Pink Grapefruit Yarrow
058251,5825,1,#1,ACHILLEA STRWBRY SDCTN P18401,Strawberry Seduction Yarrow
00056UT,56,UT,LittleOne,ACHILLEA X CORONATION GOLD,Coronation Gold Yarrow
000561,56,1,#1,ACHILLEA X CORONATION GOLD,Coronation Gold Yarrow
001351,135,1,#1,ACHILLEA X MOONSHINE,Moonshine Yarrow
001391,139,1,#1 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine
001395,139,5,#5 STAKED,ACTINIDIA ARG ISSAI (FEMALE),Hardy Kiwi Vine
001461,146,1,#1 STAKED,ACTINIDIA CH TOMURI (MALE),Tomuri Kiwi Vine
001465,146,5,#5 STAKED,ACTINIDIA CH TOMURI (MALE),Tomuri Kiwi Vine
001411,141,1,#1 STAKED,ACTINIDIA CH VINCENT (FEMALE),Vincent Kiwi Vine
001415,141,5,#5 STAKED,ACTINIDIA CH VINCENT (FEMALE),Vincent Kiwi Vine
001491,149,1,#1 STAKED,ACTINIDIA KOLOMIKTA,Ornamental Kiwi (Female)
001495,149,5,#5 STAKED,ACTINIDIA KOLOMIKTA,Ornamental Kiwi (Female)
056411,5641,1,#1 STAKED,ACTINIDIA TETRA VAR MALOIDES,Rosy Crabapple Kiwi
056415,5641,5,#5 STAKED,ACTINIDIA TETRA VAR MALOIDES,Rosy Crabapple Kiwi
01837UT,1837,UT,LittleOne,AEGOPODIUM POD VARIEGATUM,Variegated Bishop's Weed
075041,7504,1,#1,AEONIUM ARBORESCENS TIP TOP TM,Tip Top ™ Aeonium
079092,7909,2,#2,AEONIUM CANARIENSE,Giant Velvet Rose
06358UT,6358,UT,LittleOne,AEONIUM KIWI,Kiwi Aeonium
063581,6358,1,#1,AEONIUM KIWI,Kiwi Aeonium
074901,7490,1,#1,AEONIUM MANRIQUEORUM ZWARTKOP,Purple Crest Aeonium
068732,6873,2,#2,AEONIUM SUNBURST,Sunburst Aeonium
068742,6874,2,#2,AEONIUM TABULIFORME,
06352UT,6352,UT,LittleOne,AEONIUM VOODOO,Voodoo Aeonium
063521,6352,1,#1,AEONIUM VOODOO,Voodoo Aeonium
001565,156,5,#5,AESCULUS PARVIFLORA,BOTTLEBRUSH BUCKEYE
001585,158,5,#5,AESCULUS PAVIA,Red Buckeye
028895,2889,5,#5,AESCULUS X ARN AUTUMN SPLENDOR,Autumn Splendor Horse Chestnut
000575,57,5,#5,AESCULUS X CARNEA FORT MCNAIR,Fort McNair Horse Chestnut
035281,3528,1,#1,AGAPANTHUS AFR SUN STRIPE R,Sun Stripe ® Agapanthus
035282,3528,2,#2,AGAPANTHUS AFR SUN STRIPE R,Sun Stripe ® Agapanthus
001651,165,1,#1,AGAPANTHUS AFRICANUS,Lily Of The Nile
001655,165,5,#5,AGAPANTHUS AFRICANUS,Lily Of The Nile
001701,170,1,#1,AGAPANTHUS ALBUS,White Lily Of The Nile
001705,170,5,#5,AGAPANTHUS ALBUS,White Lily Of The Nile
09957UT,9957,UT,LittleOne,AGAPANTHUS BABY PETE TMPP21705,Baby Pete ™ Lily Of The Nile
099571,9957,1,#1,AGAPANTHUS BABY PETE TMPP21705,Baby Pete ™ Lily Of The Nile
050011,5001,1,#1,AGAPANTHUS BLUE LEAP,Blue Leap Lily of the Nile
050012,5001,2,#2,AGAPANTHUS BLUE LEAP,Blue Leap Lily of the Nile
001732,173,2,#2,AGAPANTHUS BLUE STORM PP14332,Blue Storm ™ Lily Of The Nile
001852,185,2,#2,AGAPANTHUS GOLD STRIKE,
050002,5000,2,#2,AGAPANTHUS INAPTERUS GRASKOP,Graskop Lily of the Nile
070371,7037,1,#1,AGAPANTHUS MOOD INDIGO,Mood Indigo Lily of the Nile
070372,7037,2,#2,AGAPANTHUS MOOD INDIGO,Mood Indigo Lily of the Nile
070375,7037,5,#5,AGAPANTHUS MOOD INDIGO,Mood Indigo Lily of the Nile
001751,175,1,#1,AGAPANTHUS PETER PAN,Dwarf Lily Of The Nile
001752,175,2,#2,AGAPANTHUS PETER PAN,Dwarf Lily Of The Nile
036992,3699,2,#2,AGAPANTHUS PETER PAN VARIEGATA,
001801,180,1,#1,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile
001805,180,5,#5,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile
070381,7038,1,#1,AGAPANTHUS RANCHO WHITE,
038592,3859,2,#2,AGAPANTHUS STORM CLOUD,Storm Cloud Lily Of The Nile
038595,3859,5,#5,AGAPANTHUS STORM CLOUD,Storm Cloud Lily Of The Nile
001862,186,2,#2,AGAPANTHUS X ELSIE'S GOLD,Bell Agapanthus
041082,4108,2,#2,AGAPANTHUS X MID BLUE SELECTN,
041085,4108,5,#5,AGAPANTHUS X MID BLUE SELECTN,
001881,188,1,#1,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue ® Agapanthus
001882,188,2,#2,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue ® Agapanthus
001885,188,5,#5,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue ® Agapanthus
05847UT,5847,UT,LittleOne,AGASTACHE AUR APRICOT SPRITE,Apricot Sprite Hyssop
058471,5847,1,#1,AGASTACHE AUR APRICOT SPRITE,Apricot Sprite Hyssop
079311,7931,1,#1,AGASTACHE CORONADO R RED,Coronado ® Red Hyssop
072691,7269,1,#1,AGASTACHE FOEN GOLDEN JUBILEE,Golden Jubilee Anise Hyssop
006251,625,1,#1,AGASTACHE GRAPE NECTAR TM PPAF,
059041,5904,1,#1,AGASTACHE HEATWAVE PP19662,Heatwave Hyssop
059042,5904,2,#2,AGASTACHE HEATWAVE PP19662,Heatwave Hyssop
006341,634,1,#1,AGASTACHE ORANGE NECTAR TM PAF,
058511,5851,1,#1,AGASTACHE RUP APACHE SUNSET,Apache Sunset Hyssop
054381,5438,1,#1,AGASTACHE SUMMER FIESTA PPAF,
080081,8008,1,#1,AGASTACHE SUMMER LOVE PP20510,Summer Love Hyssop
021251,2125,1,#1,AGASTACHE X BLUE FORTUNE,Blue Fortune Hyssop
021252,2125,2,#2,AGASTACHE X BLUE FORTUNE,Blue Fortune Hyssop
084921,8492,1,#1,AGASTACHE X BOLERO,Bolero Hyssop
074722,7472,2,#2,AGAVE ATTENUATA RAY OF LIGHT,Variegated Fox Tail Agave
074725,7472,5,#5,AGAVE ATTENUATA RAY OF LIGHT,Variegated Fox Tail Agave
034822,3482,2,#2,AGAVE BRACTEOSA,Squid Agave
074122,7412,2,#2,AGAVE BRACTEOSA CALAMAR,Calamar Squid Agave
068762,6876,2,#2,AGAVE DESMETIANA JOE HOAK,
068765,6876,5,#5,AGAVE DESMETIANA JOE HOAK,
027425,2742,5,#5,AGAVE DESMETTIANA,Dwarf Agave
027429,2742,9,#15,AGAVE DESMETTIANA,Dwarf Agave
021595,2159,5,#5,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave
021599,2159,9,#15,AGAVE DESMETTIANA VARIEGATA,Variegated Dwarf Agave
074132,7413,2,#2,AGAVE DURANGO,Thread-leaf Agave
070492,7049,2,#2,AGAVE FERDINAND REGIS,Ferdinand Agave
068771S,6877,1S,SuperOne TM,AGAVE FILIFERA,
068772,6877,2,#2,AGAVE FILIFERA,
021612,2161,2,#2,AGAVE GEMINIFLORA,Twin Flowered Agave
021615,2161,5,#5,AGAVE GEMINIFLORA,Twin Flowered Agave
02161M,2161,M,#10 Squat,AGAVE GEMINIFLORA,Twin Flowered Agave
068791S,6879,1S,SuperOne TM,AGAVE NEOMEXICANA,New Mexico Century Plant
068792,6879,2,#2,AGAVE NEOMEXICANA,New Mexico Century Plant
092822,9282,2,#2,AGAVE OCA X ATT BLUE GLOW,Blue Glow Agave
092825,9282,5,#5,AGAVE OCA X ATT BLUE GLOW,Blue Glow Agave
025222,2522,2,#2,AGAVE PARRYI VAR TRUNCATA,Artichoke Agave
068812,6881,2,#2,AGAVE POTATORUM KISSHO KAN,Lucky Crown Century Plant
025233,2523,3,#3,AGAVE SCH DURANGO DELIGHT TM,Durango Delight ™ Agave
074172,7417,2,#2,AGAVE UTAHENSIS SSP UTAHENSIS,Utah Agave
025242,2524,2,#2,AGAVE VICTORIA-REGINAE,Queen Victoria Agave
094365,9436,5,#5,AGAVE WEBERI,Weber's Agave
034291TR,3429,1TR,#1 TREE,AGONIS FLEX AFTER DARK,Purple Peppermint Willow
034295TR,3429,5TR,#5 TREE,AGONIS FLEX AFTER DARK,Purple Peppermint Willow
08030UT,8030,UT,LittleOne,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle
080301,8030,1,#1,AJUGA CHOCOLATE CHIP,Chocolate Chip Carpet Bugle
00189UT,189,UT,LittleOne,AJUGA REPTANS BRONZE BEAUTY,Bronze Beauty Carpet Bugle
001891,189,1,#1,AJUGA REPTANS BRONZE BEAUTY,Bronze Beauty Carpet Bugle
00059UT,59,UT,LittleOne,AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle
000591,59,1,#1,AJUGA REPTANS BURGUNDY GLOW,Burgundy Glow Carpet Bugle
00193UT,193,UT,LittleOne,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle
001931,193,1,#1,AJUGA REPTANS CATLIN'S GIANT,Catlin's Giant Carpet Bugle
002591,259,1,#1 STAKED,AKEBIA QUINATA,Fiveleaf Akebia
002591S,259,1S,SuperOne TM STAKED,AKEBIA QUINATA,Fiveleaf Akebia
002592,259,2,#2 STAKED,AKEBIA QUINATA,Fiveleaf Akebia
002595,259,5,#5 STAKED,AKEBIA QUINATA,Fiveleaf Akebia
002561,256,1,#1 STAKED,AKEBIA QUINATA SHIRO BANA,White Flowered Chocolate Vine
002561S,256,1S,SuperOne TM STAKED,AKEBIA QUINATA SHIRO BANA,White Flowered Chocolate Vine
002562,256,2,#2 STAKED,AKEBIA QUINATA SHIRO BANA,White Flowered Chocolate Vine
002565,256,5,#5 STAKED,AKEBIA QUINATA SHIRO BANA,White Flowered Chocolate Vine
001995,199,5,#5,ALBIZIA J SUMMER CHOC PP13822,Summer Chocolate Mimosa Tree
001999,199,9,#15 TREE,ALBIZIA J SUMMER CHOC PP13822,Summer Chocolate Mimosa Tree
001965,196,5,#5,ALBIZIA JUL OMBRELLA TM,Ombrella ™ Mimosa Tree
001955,195,5,#5,ALBIZIA JUL ROSEA,Mimosa Tree
04868UT,4868,UT,LittleOne,ALCHEMILLA ALPINA,Mountain Lady's Mantle
002011,201,1,#1,ALCHEMILLA MOLLIS AUSLESE,Auslese Lady's Mantle
00067UT,67,UT,LittleOne,ALCHEMILLA MOLLIS THRILLER,Thriller Lady's Mantle
06408UT,6408,UT,LittleOne,ALOE BLUE ELF,Blue Elf Aloe
064081,6408,1,#1,ALOE BLUE ELF,Blue Elf Aloe
064081S,6408,1S,SuperOne TM,ALOE BLUE ELF,Blue Elf Aloe
064082,6408,2,#2,ALOE BLUE ELF,Blue Elf Aloe
069032,6903,2,#2,ALOE BREVIFOLIA VARIEGATA,Variegated Short Leaf Aloe
063801,6380,1,#1,ALOE DOROTHEAE,Retro Succulents ® Sunset ™
063802,6380,2,#2,ALOE DOROTHEAE,Retro Succulents ® Sunset ™
