Loc,Item,Plant Name,CAT,,,,,,,,,UPC#,,,,,,,,,,,,,
170000,000591,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,,014949003053,,,,,,,,,,,,,
160000,000591,AJUGA REPTANS BURGUNDY GLOW,PRN,,,,,,,,,014949003053,,,,,,,,,,,,,
160000,001931,AJUGA REPTANS CATLIN'S GIANT,PRN,,,,,,,,,014949019313,,,,,,,,,,,,,
160000,04868UT,ALCHEMILLA ALPINA,PRN,,,,,,,,,014949265536,,,,,,,,,,,,,
160000,016632,ANDROMEDA POL BLUE ICE,EVS,,,,,,,,,014949000311,,,,,,,,,,,,,
160000,002741,ANEMONE SYLVESTRIS,PRN,,,,,,,,,014949027417,,,,,,,,,,,,,
160000,038561,ANEMONE X SERENADE,PRN,,,,,,,,,,,,,,,,,,,,,,
160000,05908UT,AQUILEGIA C LITTLE LANTERNS,PRN,,,,,,,,,014949352595,,,,,,,,,,,,,
160000,029351,AQUILEGIA CAE ORIGAMI MIX,PRN,,,,,,,,,014949066690,,,,,,,,,,,,,
160000,00272UT,AQUILEGIA FLA CAMEO BLUE & WT,PRN,,,,,,,,,014949053614,,,,,,,,,,,,,
160000,055482,ARALIA CORDATA GOTEMBA,PRN,,,,,,,,,,,,,,,,,,,,,,
160000,002951,ARCTOSTAPHYLOS MASSACHUSETTS,EVS,,,,,,,,,014949029510,,,,,,,,,,,,,
160000,003041,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,,014949030417,,,,,,,,,,,,,
160000,00304UT,ARMERIA MAR BLOODSTONE,PRN,,,,,,,,,014949010440,,,,,,,,,,,,,
160000,002691,ARMERIA MAR COTTON TAIL,PRN,,,,,,,,,014949026915,,,,,,,,,,,,,
160000,00269UT,ARMERIA MAR COTTON TAIL,PRN,,,,,,,,,014949010464,,,,,,,,,,,,,
160000,019461,ARMERIA MAR RUBRIFOLIA,PRN,,,,,,,,,,,,,,,,,,,,,,
160000,01946UT,ARMERIA MAR RUBRIFOLIA,PRN,,,,,,,,,014949069387,,,,,,,,,,,,,
160000,003075,ARONIA BRILLIANTISSIMA,dcs,,,,,,,,,,,,,,,,,,,,,,
160000,003401,ASTER ALMA POTSCHKE,PRN,,,,,,,,,014949034019,,,,,,,,,,,,,
160000,030091,ASTER FARMINGTON PPAF,PRN,,,,,,,,,014949067239,,,,,,,,,,,,,
160000,412531,ASTER N-A VIBRANT DOME,PRN,,,,,,,,,014949423424,,,,,,,,,,,,,
170000,003391,ASTER NOVI-BELGII ALERT,PRN,,,,,,,,,014949033913,,,,,,,,,,,,,
160000,003471,ASTER PROF KIPPENBURG,PRN,,,,,,,,,014949034712,,,,,,,,,,,,,
160000,003611,ASTER TRIUMPH,PRN,,,,,,,,,014949036112,,,,,,,,,,,,,
160000,023891,ASTER WOOD'S BLUE,PRN,,,,,,,,,014949044407,,,,,,,,,,,,,
160000,001531,ASTER WOOD'S PINK,PRN,,,,,,,,,014949008911,,,,,,,,,,,,,
160000,001591,ASTILBE BRIDAL VEIL,PRN,,,,,,,,,014949000274,,,,,,,,,,,,,
160000,003521,ASTILBE CHINENSIS PUMILA,PRN,,,,,,,,,014949035214,,,,,,,,,,,,,
160000,003621,ASTILBE CHINENSIS VISIONS,PRN,,,,,,,,,014949036211,,,,,,,,,,,,,
160000,027501,ASTILBE COLOR FLASH R PP17343,PRN,,,,,,,,,014949061862,,,,,,,,,,,,,
160000,003511,ASTILBE DEUTSCHLAND,PRN,,,,,,,,,014949035115,,,,,,,,,,,,,
160000,00351UT,ASTILBE DEUTSCHLAND,PRN,,,,,,,,,014949010884,,,,,,,,,,,,,
160000,003501,ASTILBE FANAL,PRN,,,,,,,,,014949035016,,,,,,,,,,,,,
160000,00350UT,ASTILBE FANAL,PRN,,,,,,,,,,,,,,,,,,,,,,
160000,001631,ASTILBE HENNIE GRAAFLAND,PRN,,,,,,,,,014949000281,,,,,,,,,,,,,
160000,034331,ASTILBE MAGGIE DALEY,PRN,,,,,,,,,014949071731,,,,,,,,,,,,,
160000,001681,ASTILBE RED SENTINEL,PRN,,,,,,,,,014949010174,,,,,,,,,,,,,
160000,003541,ASTILBE RHEINLAND,PRN,,,,,,,,,014949035412,,,,,,,,,,,,,
160000,00354UT,ASTILBE RHEINLAND,PRN,,,,,,,,,014949010891,,,,,,,,,,,,,
160000,003531,ASTILBE SPRITE,PRN,,,,,,,,,014949035313,,,,,,,,,,,,,
160000,059151,ASTILBE VISION IN PINK PP11860,PRN,,,,,,,,,014949315026,,,,,,,,,,,,,
160000,016341,ASTILBE VISION IN RED PP11965,PRN,,,,,,,,,014949004692,,,,,,,,,,,,,
160000,037391,ASTILBE WHT SENSATION PP18462,PRN,,,,,,,,,014949217139,,,,,,,,,,,,,
160000,400821,ASTILBE YOUNIQUE SLP TM P20656,PRN,,,,,,,,,014949388600,,,,,,,,,,,,,
160000,023191,ASTRANTIA ABBEY ROAD PP14961,PRN,,,,,,,,,,,,,,,,,,,,,,
160000,001811,AZALEA GA KAREN,RHO,,,,,,,,,014949231494,,,,,,,,,,,,,
160000,007782,AZALEA NL GOLDEN LIGHTS,RHO,,,,,,,,,014949077825,,,,,,,,,,,,,
170000,002192,BAPTISIA AUSTRALIS,PRN,,,,,,,,,,,,,,,,,,,,,,
170000,401061,BAPTISIA SOLAR FLARE PP20408,PRN,,,,,,,,,,,,,,,,,,,,,,
170000,401081,BAPTISIA TWILITE PP19011,PRN,,,,,,,,,014949388945,,,,,,,,,,,,,
160000,023941,BER CRIMSON RUBY R PPAF,DCS,,,,,,,,,014949044438,,,,,,,,,,,,,
160000,023942,BER CRIMSON RUBY R PPAF,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,012031,BER GOLDN NUGGET TM P9577 CBR,DCS,,,,,,,,,014949120316,,,,,,,,,,,,,
170000,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,012033,BER GOLDN NUGGET TM P9577 CBR,DCS,,,,,,,,,014949120330,,,,,,,,,,,,,
170000,074741S,BER SUNJOY R GOLD PILLAR PPAF,DCS,,,,,,,,,014949335642,,,,,,,,,,,,,
160000,074741S,BER SUNJOY R GOLD PILLAR PPAF,DCS,,,,,,,,,014949335642,,,,,,,,,,,,,
170000,074742S,BER SUNJOY R GOLD PILLAR PPAF,DCS,,,,,,,,,014949339558,,,,,,,,,,,,,
160000,074742S,BER SUNJOY R GOLD PILLAR PPAF,DCS,,,,,,,,,014949339558,,,,,,,,,,,,,
160000,080771S,BER SUNJOY R MINI SALSA PPAF,DCS,,,,,,,,,014949359501,,,,,,,,,,,,,
160000,080772S,BER SUNJOY R MINI SALSA PPAF,DCS,,,,,,,,,014949359518,,,,,,,,,,,,,
160000,012001,BER T ATROPURPUREA,DCS,,,,,,,,,014949120019,,,,,,,,,,,,,
160000,012002,BER T ATROPURPUREA,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,012005,BER T ATROPURPUREA,DCS,,,,,,,,,014949120057,,,,,,,,,,,,,
160000,012011,BER T CHERRY BOMB R CPBR 3488,DCS,,,,,,,,,014949120118,,,,,,,,,,,,,
160000,012012,BER T CHERRY BOMB R CPBR 3488,DCS,,,,,,,,,014949120125,,,,,,,,,,,,,
160000,012013,BER T CHERRY BOMB R CPBR 3488,DCS,,,,,,,,,014949120132,,,,,,,,,,,,,
170000,002241,BER T CONCORDE,DCS,,,,,,,,,014949198063,,,,,,,,,,,,,
160000,002241,BER T CONCORDE,DCS,,,,,,,,,014949198063,,,,,,,,,,,,,
170000,002242,BER T CONCORDE,DCS,,,,,,,,,014949074671,,,,,,,,,,,,,
160000,002242,BER T CONCORDE,DCS,,,,,,,,,014949074671,,,,,,,,,,,,,
160000,012051,BER T CRIMSON PYGMY,DCS,,,,,,,,,014949120514,,,,,,,,,,,,,
160000,012052,BER T CRIMSON PYGMY,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,012053,BER T CRIMSON PYGMY,DCS,,,,,,,,,014949120538,,,,,,,,,,,,,
160000,035231,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,014949213865,,,,,,,,,,,,,
170000,035232,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,014949214626,,,,,,,,,,,,,
160000,035232,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,014949214626,,,,,,,,,,,,,
160000,035233,BER T GOLDEN RUBY R PP16203,DCS,,,,,,,,,014949283882,,,,,,,,,,,,,
160000,012101,BER T HELMOND PILLAR,DCS,,,,,,,,,014949121016,,,,,,,,,,,,,
160000,012102,BER T HELMOND PILLAR,DCS,,,,,,,,,014949121023,,,,,,,,,,,,,
160000,012105,BER T HELMOND PILLAR,DCS,,,,,,,,,014949121054,,,,,,,,,,,,,
160000,062931,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,,014949348093,,,,,,,,,,,,,
170000,062932,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,,014949348109,,,,,,,,,,,,,
160000,062932,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,,014949348109,,,,,,,,,,,,,
160000,062935,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,,014949324127,,,,,,,,,,,,,
160000,035241,BER T PYGMY RUBY TM,DCS,,,,,,,,,014949214602,,,,,,,,,,,,,
160000,035242,BER T PYGMY RUBY TM,DCS,,,,,,,,,014949214619,,,,,,,,,,,,,
160000,012201,BER T ROSE GLOW,DCS,,,,,,,,,014949122013,,,,,,,,,,,,,
170000,012202,BER T ROSE GLOW,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,012202,BER T ROSE GLOW,DCS,,,,,,,,,014949122020,,,,,,,,,,,,,
160000,012203,BER T ROSE GLOW,DCS,,,,,,,,,014949122037,,,,,,,,,,,,,
160000,012205,BER T ROSE GLOW,DCS,,,,,,,,,014949122051,,,,,,,,,,,,,
160000,012211,BER T ROYAL BURGUNDY R P9461,DCS,,,,,,,,,014949122112,,,,,,,,,,,,,
160000,012212,BER T ROYAL BURGUNDY R P9461,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,012213,BER T ROYAL BURGUNDY R P9461,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,029661,BER T ROYAL CLOAK,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,029665,BER T ROYAL CLOAK,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,011931,BER T SUNSATION R PP11332 CBR,DCS,,,,,,,,,014949119310,,,,,,,,,,,,,
160000,011932,BER T SUNSATION R PP11332 CBR,DCS,,,,,,,,,,,,,,,,,,,,,,
160000,022021,BERGENIA COR WINTERGLOW,PRN,,,,,,,,,014949043349,,,,,,,,,,,,,
160000,012315,BETULA JACQUEMONTII,TRE,,,,,,,,,014949123157,,,,,,,,,,,,,
160000,01231MMU,BETULA JACQUEMONTII,TRE,,,,,,,,,,,,,,,,,,,,,,
160000,024715,BETULA N SUMR CASCADE PP15150,TRE,,,,,,,,,014949049464,,,,,,,,,,,,,
160000,02471M,BETULA N SUMR CASCADE PP15150,TRE,,,,,,,,,014949213513,,,,,,,,,,,,,
160000,012425MU,BETULA NIGRA,TRE,,,,,,,,,014949124352,,,,,,,,,,,,,
160000,012305,BETULA PENDULA (ALBA),TRE,,,,,,,,,,,,,,,,,,,,,,
160000,012305MU,BETULA PENDULA (ALBA),TRE,,,,,,,,,,,,,,,,,,,,,,
160000,012365,BETULA PENDULA PURPLE RAIN R,TRE,,,,,,,,,014949123652,,,,,,,,,,,,,
160000,012415SE,BETULA PENDULA YOUNGII,TRE,,,,,,,,,014949124154,,,,,,,,,,,,,
160000,012415ST,BETULA PENDULA YOUNGII,TRE,,,,,,,,,014949125052,,,,,,,,,,,,,
160000,012417SE,BETULA PENDULA YOUNGII,TRE,,,,,,,,,,,,,,,,,,,,,,
170000,035381,BRUNNERA MAC JACK FROST P13859,PRN,,,,,,,,,,,,,,,,,,,,,,
170000,013651,BRUNNERA MAC VARIEGATA,PRN,,,,,,,,,014949136515,,,,,,,,,,,,,
160000,013651,BRUNNERA MAC VARIEGATA,PRN,,,,,,,,,014949136515,,,,,,,,,,,,,
160000,003011,BUXUS CHICAGOLAND GREEN R,EVS,,,,,,,,,014949005750,,,,,,,,,,,,,
160000,003012,BUXUS CHICAGOLAND GREEN R,EVS,,,,,,,,,,,,,,,,,,,,,,
160000,003015,BUXUS CHICAGOLAND GREEN R,EVS,,,,,,,,,014949012079,,,,,,,,,,,,,
160000,013821,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,014949138212,,,,,,,,,,,,,
160000,013822,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,,,,,,,,,,,,,,
160000,013825,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,014949138250,,,,,,,,,,,,,
170000,013825CN,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,,,,,,,,,,,,,,
170000,013825CU,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,014949055373,,,,,,,,,,,,,
170000,013825SP,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,,,,,,,,,,,,,,
160000,013891,BUXUS GREEN VELVET,EVS,,,,,,,,,014949138915,,,,,,,,,,,,,
160000,013892,BUXUS GREEN VELVET,EVS,,,,,,,,,,,,,,,,,,,,,,
160000,013893,BUXUS GREEN VELVET,EVS,,,,,,,,,014949138939,,,,,,,,,,,,,
160000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,PRN,,,,,,,,,014949010495,,,,,,,,,,,,,
160000,408401,CAMPANULA CAR RAPIDO WHITE,PRN,,,,,,,,,014949413562,,,,,,,,,,,,,
160000,408421,CAMPANULA GLOM GENTI BLUE PPAF,PRN,,,,,,,,,014949413586,,,,,,,,,,,,,
160000,408411,CAMPANULA GLOM GENTI WHITE PAF,PRN,,,,,,,,,014949413579,,,,,,,,,,,,,
160000,022361,CAMPANULA PORTENSCHLAGIANA,PRN,,,,,,,,,014949223611,,,,,,,,,,,,,
160000,032431,CAMPANULA PUN CHERRY BELLS,PRN,,,,,,,,,014949312230,,,,,,,,,,,,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,014949227121,,,,,,,,,,,,,
170000,022712ST,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,,,,,,,,,,,,,,
170000,022715,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,014949227138,,,,,,,,,,,,,
170000,022715PT,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,014949426692,,,,,,,,,,,,,
170000,022381,CAMPSIS FLAVA,VIN,,,,,,,,,014949223819,,,,,,,,,,,,,
170000,022385,CAMPSIS FLAVA,VIN,,,,,,,,,014949223857,,,,,,,,,,,,,
170000,022385PT,CAMPSIS FLAVA,VIN,,,,,,,,,014949426661,,,,,,,,,,,,,
170000,022551,CAMPSIS MADAME GALEN,VIN,,,,,,,,,014949225516,,,,,,,,,,,,,
170000,022552ST,CAMPSIS MADAME GALEN,VIN,,,,,,,,,,,,,,,,,,,,,,
170000,022555,CAMPSIS MADAME GALEN,VIN,,,,,,,,,014949225554,,,,,,,,,,,,,
170000,022555PT,CAMPSIS MADAME GALEN,VIN,,,,,,,,,014949426685,,,,,,,,,,,,,
160000,022495,CARAGANA ARB WALKER,TRE,,,,,,,,,014949224953,,,,,,,,,,,,,
160000,022775,CARPINUS BET FASTIGIATA,TRE,,,,,,,,,,,,,,,,,,,,,,
160000,003961,CENTRANTHUS RUBER COCCINEUS,PRN,,,,,,,,,014949053423,,,,,,,,,,,,,
160000,023495,CERCIDIPHYLLUM PENDULUM,TRE,,,,,,,,,014949234952,,,,,,,,,,,,,
160000,023905,CHAM OBT FILICOIDES,CON,,,,,,,,,014949239056,,,,,,,,,,,,,
160000,02390M,CHAM OBT FILICOIDES,CON,,,,,,,,,014949239063,,,,,,,,,,,,,
160000,023685,CHAM OBT GRACILIS,CON,,,,,,,,,014949236857,,,,,,,,,,,,,
160000,02368M,CHAM OBT GRACILIS,CON,,,,,,,,,014949236864,,,,,,,,,,,,,
160000,023792,CHAM OBT KOSTERI,CON,,,,,,,,,014949237922,,,,,,,,,,,,,
160000,023912,CHAM OBT TEMPELHOF,CON,,,,,,,,,014949239124,,,,,,,,,,,,,
160000,082402,CHAM PIS BABY BLUE,CON,,,,,,,,,014949824023,,,,,,,,,,,,,
160000,082405,CHAM PIS BABY BLUE,CON,,,,,,,,,014949824054,,,,,,,,,,,,,
160000,08240UT,CHAM PIS BABY BLUE,CON,,,,,,,,,014949069028,,,,,,,,,,,,,
160000,024191,CHELONE HOT LIPS,PRN,,,,,,,,,014949241912,,,,,,,,,,,,,
160000,039512,CIMI S BLACK NEGLIGEE (ACTAEA),PRN,,,,,,,,,014949230329,,,,,,,,,,,,,
160000,090661,CLEM ALP PAMELA JACKMAN,VIN,,,,,,,,,014949906613,,,,,,,,,,,,,
160000,038571,CLEM ALP STOLWIJK GOLD PP18648,VIN,,,,,,,,,014949222409,,,,,,,,,,,,,
160000,414542TE,CLEM BLVRD R CHROKEE TM P24171,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,414522TE,CLEM BLVRD R FLEURI TM PP24172,VIN,,,,,,,,,014949429723,,,,,,,,,,,,,
160000,414532TE,CLEM BLVRD R NINON TM PPAF,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,414552TE,CLEM BLVRD R PRSNNE TM PP16069,VIN,,,,,,,,,014949429655,,,,,,,,,,,,,
160000,414562TE,CLEM BLVRD R REBECCA TM P21583,VIN,,,,,,,,,014949429662,,,,,,,,,,,,,
160000,414572TE,CLEM BLVRD R ZARA TM PPAF,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,048041,CLEM CENTER STAR TM PP17010,PRN,,,,,,,,,014949260302,,,,,,,,,,,,,
160000,414582TE,CLEM FLORA TM BIJOU TM PP15991,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027251,CLEM INTEGRIFOLIA CAERULEA,PRN,,,,,,,,,,,,,,,,,,,,,,
160000,027281,CLEM LAN CANDIDA,VIN,,,,,,,,,014949272817,,,,,,,,,,,,,
160000,027285,CLEM LAN CANDIDA,VIN,,,,,,,,,014949272855,,,,,,,,,,,,,
160000,046252,CLEM LOUISE ROWE,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027472,CLEM PANICULATA,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027475,CLEM PANICULATA,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,021792,CLEM PIILU TM PPAF,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,414612TE,CLEM RGL R EMPRESS TM P16072,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,021862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,,,,,,,,,014949108727,,,,,,,,,,,,,
160000,021865,CLEM SAPPHIRE INDIGO TMPP17012,VIN,,,,,,,,,014949266069,,,,,,,,,,,,,
160000,089921S,CLEM SWEET SUMMER LOVE PPAF,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,089922S,CLEM SWEET SUMMER LOVE PPAF,VIN,,,,,,,,,014949372722,,,,,,,,,,,,,
160000,051481,CLEM VANCOUVER TM DANIELLE,VIN,,,,,,,,,014949340110,,,,,,,,,,,,,
160000,051482,CLEM VANCOUVER TM DANIELLE,VIN,,,,,,,,,014949359334,,,,,,,,,,,,,
160000,051485,CLEM VANCOUVER TM DANIELLE,VIN,,,,,,,,,014949343005,,,,,,,,,,,,,
160000,046271,CLEM VANCOUVER TM FRGRNT STAR,VIN,,,,,,,,,014949339862,,,,,,,,,,,,,
160000,046272,CLEM VANCOUVER TM FRGRNT STAR,VIN,,,,,,,,,014949271582,,,,,,,,,,,,,
160000,046275,CLEM VANCOUVER TM FRGRNT STAR,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,048741,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,,014949339930,,,,,,,,,,,,,
160000,048742,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,,014949271575,,,,,,,,,,,,,
160000,048745,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,,014949265833,,,,,,,,,,,,,
170000,027211,CLEM VIT ETOILE VIOLETTE,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027212,CLEM VIT ETOILE VIOLETTE,VIN,,,,,,,,,014949272121,,,,,,,,,,,,,
160000,027215,CLEM VIT ETOILE VIOLETTE,VIN,,,,,,,,,014949272152,,,,,,,,,,,,,
170000,027305,CLEM VIT MADAME JULIA CORREVON,VIN,,,,,,,,,014949273050,,,,,,,,,,,,,
160000,021782,CLEM X ARABELLA,VIN,,,,,,,,,014949041543,,,,,,,,,,,,,
160000,015901,CLEM X BLUE LIGHT R PP15953,VIN,,,,,,,,,014949159019,,,,,,,,,,,,,
160000,015905,CLEM X BLUE LIGHT R PP15953,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027221,CLEM X COMTESSE DE BOUCHAUD,VIN,,,,,,,,,014949272213,,,,,,,,,,,,,
160000,027225,CLEM X COMTESSE DE BOUCHAUD,VIN,,,,,,,,,014949272251,,,,,,,,,,,,,
160000,027011,CLEM X ERNEST MARKHAM,VIN,,,,,,,,,014949270110,,,,,,,,,,,,,
160000,027015,CLEM X ERNEST MARKHAM,VIN,,,,,,,,,014949270158,,,,,,,,,,,,,
160000,033492,CLEM X HANIA,VIN,,,,,,,,,014949210314,,,,,,,,,,,,,
160000,027261,CLEM X JACKMANII,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027262,CLEM X JACKMANII,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027265,CLEM X JACKMANII,VIN,,,,,,,,,014949272657,,,,,,,,,,,,,
160000,044481,CLEM X JACKMANII SUPERBA,VIN,,,,,,,,,014949296981,,,,,,,,,,,,,
160000,044482,CLEM X JACKMANII SUPERBA,VIN,,,,,,,,,014949235133,,,,,,,,,,,,,
160000,044485,CLEM X JACKMANII SUPERBA,VIN,,,,,,,,,014949266083,,,,,,,,,,,,,
160000,033512,CLEM X JULKA,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,034432,CLEM X KILIAN DONAHUE,VIN,,,,,,,,,014949212080,,,,,,,,,,,,,
160000,055201,CLEM X MRS. SPENCER CASTLE,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,055205,CLEM X MRS. SPENCER CASTLE,VIN,,,,,,,,,014949280331,,,,,,,,,,,,,
160000,027061,CLEM X MULTI-BLUE,VIN,,,,,,,,,014949270615,,,,,,,,,,,,,
160000,027065,CLEM X MULTI-BLUE,VIN,,,,,,,,,014949270653,,,,,,,,,,,,,
160000,027441,CLEM X NELLY MOSER,VIN,,,,,,,,,014949274415,,,,,,,,,,,,,
160000,027442,CLEM X NELLY MOSER,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027445,CLEM X NELLY MOSER,VIN,,,,,,,,,014949274453,,,,,,,,,,,,,
160000,027461,CLEM X NIOBE,VIN,,,,,,,,,014949274613,,,,,,,,,,,,,
160000,027462,CLEM X NIOBE,VIN,,,,,,,,,,,,,,,,,,,,,,
160000,027465,CLEM X NIOBE,VIN,,,,,,,,,014949274651,,,,,,,,,,,,,
160000,027071,CLEM X PINK CHAMPAGNE,VIN,,,,,,,,,014949270714,,,,,,,,,,,,,
160000,027072,CLEM X PINK CHAMPAGNE,VIN,,,,,,,,,014949270721,,,,,,,,,,,,,
160000,027075,CLEM X PINK CHAMPAGNE,VIN,,,,,,,,,014949270752,,,,,,,,,,,,,
160000,027481,CLEM X RAMONA,VIN,,,,,,,,,014949274811,,,,,,,,,,,,,
160000,027482,CLEM X RAMONA,VIN,,,,,,,,,014949274828,,,,,,,,,,,,,
160000,027491,CLEM X ROUGE CARDINAL,VIN,,,,,,,,,014949274910,,,,,,,,,,,,,
160000,027492,CLEM X ROUGE CARDINAL,VIN,,,,,,,,,014949274927,,,,,,,,,,,,,
160000,027495,CLEM X ROUGE CARDINAL,VIN,,,,,,,,,014949274958,,,,,,,,,,,,,
