Item,Description,Description,Category,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future
33031,FATSIA JAP VAR CAMOUFLAGE TM,,,,,,,,,,
51112,FUCHSIA DEBRON'S STORMY NIGHT,,,,,,,,,,
86871,HEUCHERA CARNIVAL COCOMINT PAF,,,,,,,,,,
63832,HYD ANG GOLDEN CRANE R,,,,,,,,,,
63835,HYD ANG GOLDEN CRANE R,,,,,,,,,,
56455,HYD ASPERA PLUM PASSION R,,,,,,,,,,
92752,HYD M ENCHANTRESS R PPAF,,,,,,,,,,
92652,ILEX EMRLD COLONNADE R PP23905,,,,,,,,,,
21091,ILEX X SCALLYWAG TM PP21941,,,,,,,,,,
21472,LAURUS NOBILIS EMERALD WAVE R,,,,,,,,,,
02147UT,LAURUS NOBILIS EMERALD WAVE R,,,,,,,,,,
17841,LAVANDULA STO HAZEL PP20894,,,,,,,,,,
09238UT,MAN SUN PAR R GARDEN CRIMSON,,,,,,,,,,
47251,MUKDENIA ROS CRIMSON FANS,,,,,,,,,,
79181,PACHYPHYTUM HOOKERI,,,,,,,,,,
19372,PICEA GL CONICA TINY TOWER R,,,,,,,,,,
49475,PIERIS J SHY PPAF,,,,,,,,,,
16582,PITT TEN GOLF BALL P15329,,,,,,,,,,
46752,RHAPH U RUTRHAPH STHRN MOON TM,,,,,,,,,,
36292,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,,
036295PT,ROSA FLWR CAR R AMBER PPAF,,,,,,,,,,
36382,ROSA FLWR CAR R PNK SUP P16276,,,,,,,,,,
36312,ROSA FLWR CAR R SCARLET P17373,,,,,,,,,,
036315PT,ROSA FLWR CAR R SCARLET P17373,,,,,,,,,,
018245PT,ROSA FLWR CAR R YELLOW PP13869,,,,,,,,,,
81302,ROSA SWT SPOT TM CALYPSO PPAF,,,,,,,,,,
81492,ROSA SWT SPOT TM RUBY PPAF,,,,,,,,,,
76641,SAXIFRAGA FORT BERRY BRIGHT TM,,,,,,,,,,
49952,SCHEFFLERA TAIW YUAN SHAN,,,,,,,,,,
49955,SCHEFFLERA TAIW YUAN SHAN,,,,,,,,,,
79251,SEDEVERIA HYBRID JET BEADS,,,,,,,,,,
30261,SEDUM ALB CORAL CARPET,,,,,,,,,,
29141,SEDUM BLUE SPRUCE,,,,,,,,,,
70941,SEDUM BRONZE CARPET,,,,,,,,,,
54641,SEDUM CRYSTAL PINK PPAF,,,,,,,,,,
48261,SEDUM OREGANUM,,,,,,,,,,
77891,SEDUM REFLEXUM LEMON CORAL,,,,,,,,,,
63671,SEDUM RUBROTINCTUM AURORA,,,,,,,,,,
44871,SEDUM RUP ANGELINA PPAF,,,,,,,,,,
63681,SEDUM SIEBOLDII,,,,,,,,,,
39011,SEDUM TELEPHIUM RUP HAB GRAY,,,,,,,,,,
77901,SEMPERVIVUM HYBRID VORTEX TM,,,,,,,,,,
44911,SEMPERVIVUM RUBIKON,,,,,,,,,,
70011,SEMPERVIVUM SILVER KING,,,,,,,,,,
28851,TAXUS X MED HUBERS TAWNY GOLD,,,,,,,,,,
55145,THUJA X EMBER WAVES TM PPAF,,,,,,,,,,
05514UT,THUJA X EMBER WAVES TM PPAF,,,,,,,,,,
51325,TSUGA C GOLDEN DUCHESS TM PPAF,,,,,,,,,,
56232,VACC BOUNTIFUL BLUE R PP19381,,,,,,,,,,
81712,VACCINIUM PEACH SORBET TM PPAF,,,,,,,,,,
40976UT,WEIGELA CRMSN KISSES TM P23654,,,,,,,,,,
3523,,,,,,,,,,,
2233,,,,,,,,,,,
3595,,,,,,,,,,,
4725,,,,,,,,,,,
4816,,,,,,,,,,,
5259,,,,,,,,,,,
5260,,,,,,,,,,,
5636,,,,,,,,,,,
5958,,,,,,,,,,,
5959,,,,,,,,,,,
6293,,,,,,,,,,,
6779,,,,,,,,,,,
7441,,,,,,,,,,,
7543,,,,,,,,,,,
8140,,,,,,,,,,,
8152,,,,,,,,,,,
9078,,,,,,,,,,,
9143,,,,,,,,,,,
9317,,,,,,,,,,,
