Loc,Item,Description
170000,49711,HEUCHERA SOUTHERN COMFORT PPAF
170000,34712,HIB MOS DAVE FLEMING PP21392
170000,34722,HIB MOS JAMES FLEMING PP21434
170000,92092,HIB MOS SNOWFLAME PPAF
170000,36322,HIB MOS STARDUST PP21479
170000,34732,HIB MOS STRWBRY SWIRL PP21542
170000,074532S,HYD A INVINCE SPIRIT R PP20765
170000,074522S,HYD ARB INCREDIBALL R PP20571
170000,089951S,HYD P LITTLE QUICK FIRE R PPAF
170000,089952S,HYD P LITTLE QUICK FIRE R PPAF
170000,080951S,HYD PAN BOBO R PP22782
170000,080952S,HYD PAN BOBO R PP22782
170000,089941S,HYD PAN FIRE LIGHT TM PPAF
170000,024371S,HYD PAN LIMELIGHT PP12874
170000,24375,HYD PAN LIMELIGHT PP12874
170000,029921S,HYD PAN LITTLE LIME PPAF
170000,074612S,HYD PAN PINKY WINKY TM PP16166
170000,074601S,HYD PAN QUICK FIRE R PP16812
170000,048002PP,JUN C MINT JULEP R
170000,48005,JUN C MINT JULEP R
170000,048005OP,JUN C MINT JULEP R
170000,048005PP,JUN C MINT JULEP R
170000,048005SP,JUN C MINT JULEP R
170000,48132,JUN C SEA OF GOLD R PP17622
170000,49252,JUN H BLUE CHIP
170000,49902,JUN H ICEE BLUE R P9639
170000,50302,JUN H PRINCE OF WALES
170000,50202,JUN H YOUNGSTOWN
170000,50902,JUN PRO NANA
170000,51752,JUN SA CALGARY CARPET R
170000,51652,JUN SA MOOR-DENSE R
170000,52705,JUN SC MEDORA
170000,54005,JUN SC SKYROCKET
170000,54007,JUN SC SKYROCKET
170000,053105PT,JUN SC TOLL BLU WEEPING
170000,53307,JUN SC WICHITA BLUE
170000,53655,JUN V BLUE ARROW
170000,53659,JUN V BLUE ARROW
170000,24901,LAMIUM M PURPLE DRAGON P15890
170000,57311,LAVANDULA ANG MUNSTEAD
170000,67831,LONICERA SEMP MAJOR WHEELER
170000,59271,LONICERA X BRO DROPMORE SCARLT
170000,58991,LONICERA X GOLDFLAME
170000,05942M,MAG X ELIZABETH
170000,61241,MAN RED RIDING HOOD
170000,61245,MAN RED RIDING HOOD
170000,045012BH,MAN SUN PAR R CRIMSON PP15539
170000,09238UT,MAN SUN PAR R GARDEN CRIMSON
170000,057092BH,MAN SUN PAR R PRTY CRMN P16449
170000,057072BH,MAN SUN PAR R PRTY PNK P19399
170000,68481,OENOTHERA FREM SHIMMER PP19663
170000,63351,PACHYSANDRA TERM GREEN SHEEN
170000,47075,PAEONIA ITOH YUMI TM PAF (YLW)
170000,63651,PALM-CHAMAEROPS HUMILIS
170000,081521S,PARTH Q RED WALL TM PPAF
170000,2501,PARTH TRI VEITCHII
170000,64211,PEROVSKIA ATRIPLICIFOLIA
170000,10591,PEROVSKIA LITTLE SPIRE P11643
170000,64412,PHILADELPHUS VIR DWF SNOWFLAKE
170000,31211,PHLOX VLCNO R PK RD EYE P16341
170000,23691,PHLOX VLCNO R PK WT EYE P16722
170000,23701,PHLOX VLCNO R PL WT EYE P16437
170000,23711,PHLOX VLCNO R RED PP16721
170000,23731,PHLOX VLCNO R WHITE PP16436
170000,089982S,PHYSOCARPUS TINY WINE TM PPAF
170000,36382,ROSA FLWR CAR R PNK SUP P16276
170000,71602,ROSA FLWR CAR R RED P11308
170000,36312,ROSA FLWR CAR R SCARLET P17373
170000,080721S,ROSA OSO EASY R MNGO SALSA PAF
170000,074981S,ROSA OSO EASY R PAPRIKA PPAF
170000,67871,RUBUS PRIME-JIM R BKBRY P16989
170000,71111,RUDBECKIA ERLY BRD GLD PP20286
170000,71011,RUDBECKIA FULGIDA GOLDSTURM
170000,70591,SALVIA NEMOROSA EAST FRIESLAND
170000,29141,SEDUM BLUE SPRUCE
170000,70941,SEDUM BRONZE CARPET
170000,44871,SEDUM RUP ANGELINA PPAF
170000,70741,SEDUM X AUTUMN JOY
170000,71612,SPIRAEA X VAN RENAISSANCE
170000,072835PT,THUJA OC FILIFORMIS
170000,070051ST,TRACH JASMINOIDES
170000,070055ST,TRACH JASMINOIDES
170000,88841,VERONICA FIRST LOVE PPAF
170000,76131,VINCA MINOR BOWLES'
170000,76221,VITIS LAB EASTERN CONCORD
170000,76251,VITIS LAB NIAGARA
170000,17341,WISTERIA MAC BLUE MOON
170000,17345,WISTERIA MAC BLUE MOON
170000,77221,YUCCA FIL IVORY TOWER
550000,1341,ACHILLEA MILL PAPRIKA
550000,6241,ACHILLEA MILL SUMMER BERRIES
550000,1931,AJUGA REPTANS CATLIN'S GIANT
550000,00074UT,ANEMONE PULSATILLA
550000,65991,ANEMONE SEPTEMBER CHARM
550000,15931,ANEMONE X HONORINE JOBERT
550000,1011,ARTEMISIA SCHM SILVER MOUND
550000,3411,ASTER PURPLE DOME
550000,3621,ASTILBE CHINENSIS VISIONS
550000,27501,ASTILBE COLOR FLASH R PP17343
550000,3511,ASTILBE DEUTSCHLAND
550000,1621,ASTILBE GRANAT
550000,1671,ASTILBE MONTGOMERY
550000,3541,ASTILBE RHEINLAND
550000,59151,ASTILBE VISION IN PINK PP11860
550000,16341,ASTILBE VISION IN RED PP11965
550000,2781,BAPTISIA 'PURPLE SMOKE'
550000,2191,BAPTISIA AUSTRALIS
550000,074411S,BUD LO&BEHLD R BLU CHP PP19991
550000,077391S,BUDDLEJA MISS MOLLY PPAF
550000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS
550000,6351,CHRY (LEU) SUP REAL DREAM PPAF
550000,26621,CHRYS (LEUCANTH) X SUP AGLAIA
550000,23021,CHRYS (LEUCANTH) X SUP BECKY
550000,4221,CHRYS (LEUCANTH) X SUP SNOWCAP
550000,00423UT,CHRYS (LEUCANTH) X SUP SNWLADY
550000,074462S,CLETHRA AL SUGARTINA TM P21561
550000,28981,COREOPSIS AURICULATA ZAMPHIR
550000,6751,COREOPSIS GRAND SUNFIRE
550000,27961,COREOPSIS VERT MOONBEAM
550000,27971,COREOPSIS VERT ZAGREB
550000,17361,COREOPSIS X TQUILA SNRIS P9875
550000,4591,DELPHINIUM GRAND BLUE MIRROR
550000,6891,DIAN EVRLST TM BGDY BLH P23150
550000,6901,DIAN EVRLST TM LLAC+EYE P23318
550000,6951,DIAN EVRLST TM ORCHID P23364
550000,59681,DIANTHUS FIRE STAR PP14895
550000,4721,DIANTHUS GRAT FIREWITCH
550000,4901,DICENTRA SP VALENTINE R P22739
550000,4841,DICENTRA SPECTABILIS
550000,75861,DICENTRA SPECTABILIS ALBA
550000,31611,DICENTRA X LUXURIANT
550000,4871,DIGITALIS PURPUREA FOXY
550000,4881,DIGITALIS X MERTONENSIS
550000,7051,ECHIN 'SUPREME CANTALOUPE'
550000,87021,ECHINACEA CHEYENNE SPIRIT
550000,08702UT,ECHINACEA CHEYENNE SPIRIT
550000,39571,ECHINACEA FRAGRNT ANGEL P16054
550000,37511,ECHINACEA GREEN EYES PP17172
550000,47511,ECHINACEA PNK DBL DLITE P18803
550000,00299UT,ECHINACEA POWWOW R WILDBERRY
550000,59741,ECHINACEA PUR HOT PAPAYA PPAF
550000,31771,ECHINACEA PUR MAGNUS
550000,39591,ECHINACEA RASPBRY TART PP18560
550000,36281,ECHINACEA SUNDOWN TM PP17659
550000,48651,ECHINACEA TIKI TORCH PP18839
550000,57301,ECHINACEA TOMATO SOUP PPAF
550000,83621,FERN-ADIANTUM PEDATUM
550000,19241,FERN-ATHYRIUM F LADY IN RED
550000,18761,FERN-ATHYRIUM GHOST
550000,36451,FERN-MATTEUCCIA STRUTHIOPTERIS
550000,36411,FERN-OSMUNDA CINNAMOMEA
550000,5091,FERN-THELYPTERIS DECUR-PINNATA
550000,35421,GAILLARDIA BURGUNDY
550000,4051,GAILLARDIA MESA BRIGHT BICOLOR
550000,36441,GAILLARDIA ORNGS&LEMONS P17092
550000,14011,GR-CAL ACUT KARL FOERSTER
550000,63885,GR-PAN VIR SHENANDOAH
550000,64271,GR-PENN SET RUBRUM
550000,40091,HEM LITTLE BUSINESS
550000,40111,HEM STELLA DE ORO
550000,39611,HEUCHERA BLACK BEAUTY PP13288
550000,54911,HEUCHERA FIRE CHIEF PP21880
550000,29531,HEUCHERA LIME RICKEY PP16210
550000,54531,HEUCHERA MIDNIGHT BAYOU P21858
550000,37541,HEUCHERA OBSIDIAN PP14836
550000,40451,HEUCHERA PALACE PURPLE
550000,70361,HEUCHERA PISTACHE PP19585
550000,40721,HEUCHERA PLUM PUDDING
550000,49711,HEUCHERA SOUTHERN COMFORT PPAF
550000,33531,HEUCHERELLA STOPLIGHT PP16835
550000,25205,HIB R ERIN RACHEL
550000,41305,HIB R HULA GIRL
550000,23241,HIB X DISCO BELLE PINK
550000,36981,HOSTA APHRODITE
550000,6861,HOSTA BIG DADDY
550000,25101,HOSTA CHRISTMAS TREE
550000,17491,HOSTA FIRE & ICE
550000,19911,HOSTA GREAT EXPECTATIONS
550000,41651,HOSTA NIGHT BEFORE CHRISTMAS
550000,28391,HOSTA OLIVE BAILEY LANGDON
550000,41881,HOSTA PATRIOT
550000,44671,HOSTA STAINED GLASS PPAF
550000,017311S,HYD M ENDLESS SUMMER R PP15298
550000,017312S,HYD M ENDLESS SUMMER R PP15298
550000,089951S,HYD P LITTLE QUICK FIRE R PPAF
550000,089952S,HYD P LITTLE QUICK FIRE R PPAF
550000,080952S,HYD PAN BOBO R PP22782
550000,074602S,HYD PAN QUICK FIRE R PP16812
550000,074622S,HYPERICUM SUNNY BLVD TM P20045
550000,44011,IRIS EN VARIEGATA
550000,46875,JUN C BLUE POINT
550000,48132,JUN C SEA OF GOLD R PP17622
550000,54145,JUN V GREY OWL
550000,056953PT,LANTANA CONFETTI TM
550000,57881,LIATRIS SPI KOBOLD
550000,9281,LIGULARIA STEN THE ROCKET
550000,72511,LOBELIA X SPE RUSSIAN PRINCESS
550000,086361S,LONICERA P SCENTSATION PP16240
550000,62311,LYSIMACHIA NUMMULARIA AUREA
550000,61205,MAN ALICE DU PONT
550000,45011,MAN SUN PAR R CRIMSON PP15539
550000,09238UT,MAN SUN PAR R GARDEN CRIMSON
550000,57085,MAN SUN PAR R GIANT PNK P15202
550000,61235,MAN SUN PAR R GNT CRIM P17736
550000,57071,MAN SUN PAR R PRTY PNK P19399
550000,072642BH,MAN SUN PAR R WHITE PP22695
550000,61295,MAN TANGO TWIRL R P14290
550000,61821,MONARDA JACOB CLINE
550000,47551,PENSTEMON DARK TOWERS PP20013
550000,63951,PENSTEMON DIGITALIS HUSKER RED
550000,67781,PENSTEMON X PIKES PEAK PURPL R
550000,66811,PENSTEMON X PRETTY PETTICOAT
550000,64211,PEROVSKIA ATRIPLICIFOLIA
550000,10631,PHLOX PAN DAVID
550000,65361,POLEMONIUM BRISE D'ANJOU P9781
550000,36382,ROSA FLWR CAR R PNK SUP P16276
550000,36312,ROSA FLWR CAR R SCARLET P17373
550000,042822S,ROSA KNCK OUT R DBL PNK P18507
550000,030902S,ROSA KNCK OUT R DBL RD P16202
550000,71011,RUDBECKIA FULGIDA GOLDSTURM
550000,55421,RUDBECKIA HIR CHERRY BRANDY
550000,70571,RUDBECKIA HIR CHIM CHIMINEE
550000,11691,RUDBECKIA HIR INDIAN SUMMER
550000,19541,SALVIA NEM MARCUS R PP13322
550000,11761,SALVIA X SYL BLUE HILL
550000,70261,SALVIA X SYL MAY NIGHT
550000,30321,SALVIA X SYL SNOW HILL
550000,70971,SCABIOSA COL BUTTERFLY BLUE
550000,71661,SCABIOSA COL PINK MIST
550000,44871,SEDUM RUP ANGELINA PPAF
550000,70741,SEDUM X AUTUMN JOY
550000,11011,SISYRINCHIUM ANG BLUE NOTE TM
550000,72611,TRADESCANTIA BLU&GLD(SWT KATE)
550000,17391,VERONICA ROYAL CANDLES PP18932
550000,77231,YUCCA FIL GOLDEN SWORD
160000,82,ABIES BALSAMEA NANA
160000,51315,ABIES CONCOLOR CANDICANS
160000,1285,ACER F AUTUMN BLAZE R
160000,485,ACER GIN RED RHAPSODY R
160000,845,ACER PAL EMPEROR I R
160000,01039MST,ACER PAL RED DRAGON R
160000,60205,ACER PSEUDOSIEBOLDIANUM
160000,1351,ACHILLEA X MOONSHINE
160000,80301,AJUGA CHOCOLATE CHIP
160000,2741,ANEMONE SYLVESTRIS
160000,38561,ANEMONE X SERENADE
160000,29351,AQUILEGIA CAE ORIGAMI MIX
160000,55482,ARALIA CORDATA GOTEMBA
160000,3041,ARMERIA MAR BLOODSTONE
160000,2691,ARMERIA MAR COTTON TAIL
160000,3075,ARONIA BRILLIANTISSIMA
160000,3401,ASTER ALMA POTSCHKE
160000,3611,ASTER TRIUMPH
160000,3521,ASTILBE CHINENSIS PUMILA
160000,3621,ASTILBE CHINENSIS VISIONS
160000,27501,ASTILBE COLOR FLASH R PP17343
160000,3501,ASTILBE FANAL
160000,1631,ASTILBE HENNIE GRAAFLAND
160000,34331,ASTILBE MAGGIE DALEY
160000,1681,ASTILBE RED SENTINEL
160000,12031,BER GOLDN NUGGET TM P9577 CBR
160000,12032,BER GOLDN NUGGET TM P9577 CBR
160000,080771S,BER SUNJOY R MINI SALSA PPAF
160000,2241,BER T CONCORDE
160000,2242,BER T CONCORDE
160000,12051,BER T CRIMSON PYGMY
160000,12052,BER T CRIMSON PYGMY
160000,35232,BER T GOLDEN RUBY R PP16203
160000,12102,BER T HELMOND PILLAR
160000,62931,BER T ORANGE ROCKET PP18411
160000,12202,BER T ROSE GLOW
160000,11932,BER T SUNSATION R PP11332 CBR
160000,13651,BRUNNERA MAC VARIEGATA
160000,013821S,BUXUS GREEN MOUNTAIN
160000,13822,BUXUS GREEN MOUNTAIN
160000,013825PY,BUXUS GREEN MOUNTAIN
160000,013891S,BUXUS GREEN VELVET
160000,13892,BUXUS GREEN VELVET
160000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS
160000,22361,CAMPANULA PORTENSCHLAGIANA
160000,24032,CHAM PIS FIL GOLDEN CHARM
160000,24191,CHELONE HOT LIPS
160000,23021,CHRYS (LEUCANTH) X SUP BECKY
160000,39512,CIMI S BLACK NEGLIGEE (ACTAEA)
160000,27251,CLEM INTEGRIFOLIA CAERULEA
160000,27472,CLEM PANICULATA
160000,21862,CLEM SAPPHIRE INDIGO TMPP17012
160000,089921S,CLEM SWEET SUMMER LOVE PPAF
160000,38002,CLEM TEX PRINCESS DIANA
160000,51481,CLEM VANCOUVER TM DANIELLE
160000,51482,CLEM VANCOUVER TM DANIELLE
160000,48741,CLEM VANCOUVER TM STARRY NGHTS
160000,48742,CLEM VANCOUVER TM STARRY NGHTS
160000,33492,CLEM X HANIA
160000,27262,CLEM X JACKMANII
160000,44482,CLEM X JACKMANII SUPERBA
160000,34432,CLEM X KILIAN DONAHUE
160000,27462,CLEM X NIOBE
160000,26372,CLEM X TOKI
160000,27971,COREOPSIS VERT ZAGREB
160000,27862,CORNUS ALBA IVORYHALO TM
160000,45281,CORNUS ALBA PRAIRIE FIRE AUREA
160000,45285,CORNUS ALBA PRAIRIE FIRE AUREA
160000,074801S,CORNUS S ARCTIC FIRE TM P18523
160000,080841S,CORNUS STO PUCKERED UP TM PPAF
160000,080842S,CORNUS STO PUCKERED UP TM PPAF
160000,17455,CORYLUS AV CONTORTA-OWN ROOT
160000,28552,COT APICULATUS TOM THUMB
160000,16612,COTINUS C GOLDEN SPIRIT P13082
160000,28145,COTINUS COG ROYAL PURPLE
160000,56422,DEUTZIA SET CORYMBIFLORA
160000,67631,DIANTHUS BAR OESCHBERG
160000,31331,DIANTHUS FROSTY FIRE
160000,4901,DICENTRA SP VALENTINE R P22739
160000,35622,DICENTRA SPEC GOLD HEART
160000,31611,DICENTRA X LUXURIANT
160000,32271,ECHIN PXIE MEADWBRTE TM P18546
160000,77121,ECHINACEA NOW CHEESIER PPAF
160000,39581,ECHINACEA PUR MERLOT PP18814
160000,36281,ECHINACEA SUNDOWN TM PP17659
160000,57301,ECHINACEA TOMATO SOUP PPAF
160000,33602,EUO ALATUS COMPACTUS
160000,33651,EUO F CANADALE GOLD
160000,34302,EUO F GOLDEN PRINCE R
160000,46682,EUPATORIUM PHANTOM PP18354
160000,36261,FERN-DRYOPTERIS FELIX-MAS ROB
160000,23211,GAILLARDIA FANFARE PP15892
160000,48591,GAZANIA LIN COLORADO GOLD R
160000,38241,GERANIUM CIN BALLERINA
160000,38281,GERANIUM CIN SUBCAULESCENS
160000,5231,GERANIUM SANGUINEUM MAX FREI
160000,38331,GERANIUM X CAN BIOKOVO
160000,35601,GEUM COCC WERNER ARENDS
160000,33975,GINKGO BIL JADE BUTTERFLIES
160000,44551,GR-CAL ACUT AVALANCHE
160000,14011,GR-CAL ACUT KARL FOERSTER
160000,14012,GR-CAL ACUT KARL FOERSTER
160000,14071,GR-CAL ACUT OVERDAM
160000,14072,GR-CAL ACUT OVERDAM
160000,14081,GR-CALAMAGROSTIS  BRACHYTRICA
160000,14082,GR-CALAMAGROSTIS  BRACHYTRICA
160000,28051,GR-ERIANTHUS RAVENNAE
160000,35911,GR-HAKONECHLOA MACRA ALL GOLD
160000,03591UT,GR-HAKONECHLOA MACRA ALL GOLD
160000,38681,GR-HAKONECHLOA MACRA AUREOLA
160000,03868UT,GR-HAKONECHLOA MACRA AUREOLA
160000,39971,GR-HELICTOTRICHON SEMPERVIRENS
160000,61761,GR-MIS SIN PURPURASCENS
160000,61701,GR-MOLINIA CAER VARIEGATA
160000,63881,GR-PAN VIR SHENANDOAH
160000,63885,GR-PAN VIR SHENANDOAH
160000,89051,HELLE WINDCLIFF DBL PINK SDLNG
160000,89081,HELLE WINDCLIFF SLATY BLUE SDL
160000,67281,HELLE WJEWELS R BLACK DIAMOND
160000,67231,HELLE WJEWELS R PAINTED
160000,17991,HELLEBORUS RED LADY
160000,83961,HEM CHICAGO APACHE
160000,40361,HEM FAIRY TALE PINK
160000,40511,HEM HAPPY RETURNS
160000,40071,HEM JOAN SENIOR
160000,40091,HEM LITTLE BUSINESS
160000,40121,HEM LITTLE GRAPETTE
160000,83981,HEM PINK PLAYMATE
160000,40631,HEM PRAIRIE BLUE EYES
160000,76281,HEM RUBY SPIDER
160000,40111,HEM STELLA DE ORO
160000,6631,HEM STRAWBERRY CANDY
160000,83931,HEM SWIRLING WATER
160000,18661,HEUCHERA GREEN SPICE
160000,53681,HEUCHERA MAHOGANY PPAF
160000,28871,HEUCHERA MARMALADE PP15945
160000,45721,HEUCHERA MIDNIGHT ROSE PP18551
160000,37541,HEUCHERA OBSIDIAN PP14836
160000,36691,HEUCHERA ROSE MAJESTY PP17414
160000,46641,HEUCHERA VIL CARAMEL PP16560
160000,31871,HOSTA ABIQUA DRINKING GOURD
160000,16761,HOSTA CHERRY BERRY
160000,16762,HOSTA CHERRY BERRY
160000,93062,HOSTA ENTERPRISE
160000,41471,HOSTA EOLA SAPPHIRE
160000,41472,HOSTA EOLA SAPPHIRE
160000,41475,HOSTA EOLA SAPPHIRE
160000,42981,HOSTA FIRST FROST
160000,41691,HOSTA FRANCEE
160000,52631,HOSTA FROSTY RIBBONS TM PPAF
160000,41531,HOSTA GINKO CRAIG
160000,41771,HOSTA GOLDEN PRAYERS
160000,17522,HOSTA GUACAMOLE
160000,31891,HOSTA HADSPEN BLUE
160000,17531,HOSTA JUNE
160000,41821,HOSTA KROSSA REGAL
160000,47791,HOSTA LITTLE DARLING R PPAF
160000,28395,HOSTA OLIVE BAILEY LANGDON
160000,41881,HOSTA PATRIOT
160000,7011,HOSTA REGAL SPLENDOR
160000,39472,HOSTA ROSEDALE GOLDEN GOOSE
160000,83971,HOSTA SUM & SUBSTANCE
160000,83975,HOSTA SUM & SUBSTANCE
160000,75161,HOSTA THE RAZOR'S EDGE
160000,16301,HOSTA TOKUDAMA FLAVOCIRCINALIS
160000,41851,HOSTA WIDE BRIM
160000,88391,HUMULUS X CRYSTAL
160000,88392,HUMULUS X CRYSTAL
160000,074532S,HYD A INVINCE SPIRIT R PP20765
160000,41712,HYD ARB ANNABELLE
160000,41715,HYD ARB ANNABELLE
160000,074522S,HYD ARB INCREDIBALL R PP20571
160000,089951S,HYD P LITTLE QUICK FIRE R PPAF
160000,089952S,HYD P LITTLE QUICK FIRE R PPAF
160000,42022,HYD PAN ANGEL'S BLUSH R P10751
160000,080951S,HYD PAN BOBO R PP22782
160000,080952S,HYD PAN BOBO R PP22782
160000,024372S,HYD PAN LIMELIGHT PP12874
160000,029921S,HYD PAN LITTLE LIME PPAF
160000,029922S,HYD PAN LITTLE LIME PPAF
160000,074611S,HYD PAN PINKY WINKY TM PP16166
160000,35012,HYD PET MIRANDA
160000,41705,HYD PETIOLARIS
160000,45092,ILEX X BERRI-MAGIC R KIDS
160000,16471,IRIS EN CASCADE SPICE
160000,44011,IRIS EN VARIEGATA
160000,45981,IRIS PALLIDA VARIEGATA
160000,46441,IRIS SIB CAESAR'S BROTHER
160000,46011,IRIS SIB RUFFLED VELVET
160000,51752,JUN SA CALGARY CARPET R
160000,53392,JUN SQUA BLUE STAR
160000,074662S,KOLKWITZIA AMA DREAM CATCHR TM
160000,9081,LAMIUM ORCHID FROST PP11122
160000,57275,LARIX DECIDUA PENDULA
160000,57881,LIATRIS SPI KOBOLD
160000,32182,LIGULARIA BR M CRAWFORD P16123
160000,9841,LOBELIA COMPLIMENT RED
160000,84391,LONICERA PCHES & CREAM PP21839
160000,62311,LYSIMACHIA NUMMULARIA AUREA
160000,36165,METASEQUOIA G OGON GOLD RUSH
160000,38502,MICROBIOTA FUZZBALL TM P20012
160000,25861,MONARDA RASPBERRY WINE
160000,47251,MUKDENIA ROS CRIMSON FANS
160000,82581,NEPETA LITTLE TRUDY R PP18904
160000,81741,NEPETA NERVOSA PINK CAT
160000,62281,NEPETA X FAASS WALKER'S LOW
160000,63351,PACHYSANDRA TERM GREEN SHEEN
160000,47085,PAEONIA ITOH KEIKO TM (PK D D)
160000,68585,PAEONIA ITOH MORNING LILAC
160000,52595,PAEONIA ITOH TAKARA TM PP22374
160000,24242,PAEONIA X BLAZE (RED)
160000,50282,PAEONIA X BUCKEYE BELLE (RED)
160000,36332,PAEONIA X INSPECTEUR LAVERGNE
160000,63742,PAEONIA X KANSAS (RED)
160000,46072,PAEONIA X RASPBERRY SUNDAE(PK)
160000,64211,PEROVSKIA ATRIPLICIFOLIA
160000,84781,PEROVSKIA LACEY BLUE PP20845
160000,64531,PHLOX PAN ICE CAP
160000,64611,PHLOX PAN RED EYES
160000,074675PT,PHYSOCARPUS COPPRTNA TM P16371
160000,029941S,PHYSOCARPUS SUMR WINE R P14821
160000,089981S,PHYSOCARPUS TINY WINE TM PPAF
160000,089982S,PHYSOCARPUS TINY WINE TM PPAF
160000,64545,PICEA ABIES CUPRESSINA
160000,64552,PICEA ABIES LITTLE GEM
160000,064575ST,PICEA ABIES PENDULA
160000,64622,PICEA GL CONICA
160000,64652,PICEA GL DENSATA
160000,64692,PICEA PUN GLOBOSA
160000,64695,PICEA PUN GLOBOSA
160000,064695PT,PICEA PUN GLOBOSA
160000,49095,PINUS MUGO BIG TUNA
160000,49072,PINUS MUGO MOPS
160000,06552MOP,PINUS SYL FRENCH BLUE
160000,20981,PLATYCODON GR ZWERG
160000,36561,POLE STAIRWAY TO HEAVEN P15187
160000,66692,POTENTILLA ABBOTSWOOD
160000,66802,POTENTILLA GOLD STAR
160000,66772,POTENTILLA RED ACE
160000,66742,POTENTILLA SUNSET
160000,11061,PULMONARIA RASP SPLASH PP12138
160000,35611,PULMONARIA TREVI FOUNTN P13047
160000,9802,RHOD (H-1) P.J.M.
160000,9971,RHOD (H-1) PURPLE GEM
160000,20195,RHOD (H-1) RTR MARCH MADNESS
160000,69892,RHUS AROMATICA GRO-LOW
160000,36312,ROSA FLWR CAR R SCARLET P17373
160000,58912,ROSA-CL-WILLIAM BAFFIN
160000,71111,RUDBECKIA ERLY BRD GLD PP20286
160000,71011,RUDBECKIA FULGIDA GOLDSTURM
160000,19541,SALVIA NEM MARCUS R PP13322
160000,20411,SALVIA NEMOROSA CARADONNA
160000,44341,SALVIA SENSATION RSE TM P18230
160000,70261,SALVIA X SYL MAY NIGHT
160000,035942S,SAMBUCUS BLACK LACE TM PP15575
160000,35945,SAMBUCUS BLACK LACE TM PP15575
160000,19995,SAMBUCUS BLK BEAUTY TM PP12305
160000,70941,SEDUM BRONZE CARPET
160000,54641,SEDUM CRYSTAL PINK PPAF
160000,49971,SEDUM MR. GOODBUD PPAF
160000,44871,SEDUM RUP ANGELINA PPAF
160000,63681,SEDUM SIEBOLDII
160000,70911,SEDUM VERA JAMESON
160000,075011S,SPIRAEA DBLPLAY R ARTIST PPAF
160000,075012S,SPIRAEA DBLPLAY R ARTIST PPAF
160000,075031S,SPIRAEA DBLPLAY R BIGBANG PPAF
160000,075032S,SPIRAEA DBLPLAY R BIGBANG PPAF
160000,075021S,SPIRAEA DBLPLAY R GOLD PPAF
160000,71251,SPIRAEA JAP LITTLE PRINCESS
160000,71252,SPIRAEA JAP LITTLE PRINCESS
160000,71571,SPIRAEA JAP MAGIC CARPET P9363
