Branch,Item,Description,Category,Zone,Shippable,"Open
Now","Rep
Allocation","Rep
Orders","Now Available
For Rep",Price,Code,Future,
160000,038005,CLEM TEX PRINCESS DIANA,VIN,5,104,15,15,6,24,$28.00 ,,5/1/2015,
160000,051481,CLEM VANCOUVER TM DANIELLE,VIN,4,13,1,30,0,13,$9.50 ,,5/1/2015,
160000,051485,CLEM VANCOUVER TM DANIELLE,VIN,4,218,22,10,0,32,$30.00 ,,5/1/2015,
160000,046272,CLEM VANCOUVER TM FRGRNT STAR,VIN,4,93,0,11,10,1,$17.00 ,,5/1/2015,
160000,046275,CLEM VANCOUVER TM FRGRNT STAR,VIN,4,139,48,10,5,53,$30.00 ,,5/1/2015,
160000,048745,CLEM VANCOUVER TM STARRY NGHTS,VIN,4,193,102,8,0,110,$30.00 ,,5/1/2015,
160000,027212,CLEM VIT ETOILE VIOLETTE,VIN,4,42,42,0,0,42,$17.00 ,,5/1/2015,
160000,027215,CLEM VIT ETOILE VIOLETTE,VIN,4,51,0,6,0,6,$28.00 ,,5/1/2015,
160000,027302,CLEM VIT MADAME JULIA CORREVON,VIN,4,51,51,0,0,51,$17.00 ,,,
160000,027305,CLEM VIT MADAME JULIA CORREVON,VIN,4,8,8,0,0,8,$28.00 ,,,
160000,015901,CLEM X BLUE LIGHT R PP15953,VIN,4,103,0,49,32,17,$8.50 ,,5/1/2015,
160000,090612,CLEM X CART AVALANCHE,VIN,7,472,0,44,37,7,$17.00 ,,,
160000,090615,CLEM X CART AVALANCHE,VIN,7,627,0,25,10,15,$28.00 ,,,
160000,027221,CLEM X COMTESSE DE BOUCHAUD,VIN,4,764,0,38,15,23,$8.50 ,,5/1/2015,
160000,027225,CLEM X COMTESSE DE BOUCHAUD,VIN,4,436,163,20,0,183,$28.00 ,,5/1/2015,
160000,027011,CLEM X ERNEST MARKHAM,VIN,3,70,0,23,10,13,$8.50 ,,5/1/2015,
160000,027015,CLEM X ERNEST MARKHAM,VIN,3,207,0,8,5,3,$28.00 ,,5/1/2015,
160000,027262,CLEM X JACKMANII,VIN,4,256,0,18,6,12,$17.00 ,,5/1/2015,
160000,027265,CLEM X JACKMANII,VIN,4,309,0,14,14,0,$28.00 ,,5/1/2015,
160000,044481,CLEM X JACKMANII SUPERBA,VIN,4,52,0,76,45,31,$8.50 ,,5/1/2015,
160000,044482,CLEM X JACKMANII SUPERBA,VIN,4,101,0,20,5,15,$17.00 ,,5/1/2015,
160000,044485,CLEM X JACKMANII SUPERBA,VIN,4,95,95,20,0,95,$28.00 ,,5/1/2015,
160000,055205,CLEM X MRS. SPENCER CASTLE,VIN,4,190,190,0,0,190,$28.00 ,,5/1/2015,
160000,027065,CLEM X MULTI-BLUE,VIN,4,208,204,40,10,204,$28.00 ,,4/15/2015,
160000,027441,CLEM X NELLY MOSER,VIN,4,148,0,75,50,25,$8.50 ,,5/1/2015,
160000,027442,CLEM X NELLY MOSER,VIN,4,121,85,18,10,93,$17.00 ,,5/1/2015,
160000,027445,CLEM X NELLY MOSER,VIN,4,404,30,20,11,39,$28.00 ,,5/1/2015,
160000,027462,CLEM X NIOBE,VIN,4,383,2,22,15,9,$17.00 ,,5/1/2015,
160000,027072,CLEM X PINK CHAMPAGNE,VIN,4,42,19,16,9,26,$17.00 ,,5/1/2015,
160000,027075,CLEM X PINK CHAMPAGNE,VIN,4,253,4,6,0,10,$28.00 ,,5/1/2015,
160000,027481,CLEM X RAMONA,VIN,4,95,0,14,10,4,$8.50 ,,5/1/2015,
160000,027482,CLEM X RAMONA,VIN,4,461,21,12,5,28,$17.00 ,,5/1/2015,
160000,027485,CLEM X RAMONA,VIN,4,43,0,6,3,3,$28.00 ,,5/1/2015,
160000,027491,CLEM X ROUGE CARDINAL,VIN,4,129,0,40,30,10,$8.50 ,,5/1/2015,
160000,027492,CLEM X ROUGE CARDINAL,VIN,4,3,3,6,0,3,$17.00 ,,5/1/2015,
160000,027495,CLEM X ROUGE CARDINAL,VIN,4,137,0,8,6,2,$28.00 ,,5/1/2015,
160000,026372,CLEM X TOKI,VIN,4,150,0,40,42,0,$17.00 ,,5/1/2015,
160000,026375,CLEM X TOKI,VIN,4,526,154,20,33,154,$28.00 ,,5/1/2015,
160000,088402,HUMULUS X NEWPORT,VIN,5,105,15,0,0,15,$16.00 ,,,
160000,088405,HUMULUS X NEWPORT,VIN,5,151,131,0,0,131,$26.00 ,,,
160000,035012,HYD PET MIRANDA,VIN,4,499,493,55,32,493,$18.25 ,,5/1/2015,
160000,035015,HYD PET MIRANDA,VIN,4,152,0,11,5,6,$27.50 ,,5/1/2015,
160000,041701,HYD PETIOLARIS,VIN,5,"3,520",0,52,48,4,$8.00 ,,,
160000,041702,HYD PETIOLARIS,VIN,5,314,0,73,69,4,$18.25 ,,5/1/2015,
160000,041705,HYD PETIOLARIS,VIN,5,"3,743",3,65,40,28,$27.50 ,,,
160000,041705TE,HYD PETIOLARIS,VIN,5,282,0,3,4,0,$55.00 ,,,
160000,041709,HYD PETIOLARIS,VIN,5,85,73,0,0,73,$120.00 ,,5/1/2015,
160000,059051ST,LONICERA JAP HALLIANA,VIN,4,"1,015",4,18,10,12,$7.50 ,,,
160000,059055ST,LONICERA JAP HALLIANA,VIN,4,175,175,5,0,175,$22.00 ,,5/1/2015,
160000,059181,LONICERA PER BERRIES JUBILEE R,VIN,5,234,121,28,15,134,$7.75 ,,5/1/2015,
160000,067831,LONICERA SEMP MAJOR WHEELER,VIN,4,32,0,21,10,11,$7.75 ,,5/1/2015,
160000,067835,LONICERA SEMP MAJOR WHEELER,VIN,4,283,251,11,10,252,$26.00 ,,5/1/2015,
160000,058991,LONICERA X GOLDFLAME,VIN,4,17,0,30,18,12,$7.75 ,,5/1/2015,
160000,058995,LONICERA X GOLDFLAME,VIN,4,173,1,15,7,9,$26.00 ,,5/1/2015,
160000,002505,PARTH TRI VEITCHII,VIN,4,15,15,8,8,15,$27.00 ,,5/1/2015,
160000,043462,SCHIZOPHRAGMA ELLIP 8170 DJHV8,VIN,5,115,115,0,0,115,$16.75 ,,,
160000,043465,SCHIZOPHRAGMA ELLIP 8170 DJHV8,VIN,5,80,80,0,0,80,$27.00 ,,,
160000,071021,SCHIZOPHRAGMA HYD MOONLIGHT,VIN,6,117,117,22,0,117,$8.00 ,,5/1/2015,
160000,071025,SCHIZOPHRAGMA HYD MOONLIGHT,VIN,6,416,12,20,15,17,$27.00 ,,4/1/2015,
160000,076811,WISTERIA FRU AMETHYST FALLS,VIN,5,701,2,15,15,2,$8.50 ,,,
160000,076815,WISTERIA FRU AMETHYST FALLS,VIN,5,751,0,11,11,0,$22.00 ,,,
160000,017341,WISTERIA MAC BLUE MOON,VIN,4,967,0,35,21,14,$8.50 ,,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,,
