Loc,Item,Size,Description
CA,34901,#1,EUO J AUREOVARIEGATUS
CA,34902,#2,EUO J AUREOVARIEGATUS
CA,34905,#5,EUO J AUREOVARIEGATUS
CA,35252,#2,EUO J MICRO SILVER PRINCESS TM
CA,35205,#5,EUO J SILVER KING
CA,35401,#1,EUO KIA MANHATTAN
GA,35405,#5,EUO KIA MANHATTAN
GA,44095,#5,GARDENIA FROSTPROOF
CA,37801,#1,GARDENIA VEITCHII
CA,64182,#2,HESPERALOE BRK LIGHTS R P21729
CA,40871,#1,HIB R BRIDAL VEIL R
CA,55241,#1,HIB R C'EST BON
CA,25201,#1,HIB R ERIN RACHEL
CA,41201,#1,HIB R FULLMOON R
CA,41591,#1,HIB R THE PATH
OR,43052,#2,ILEX AQ GOLD COAST R
GA,44935,#5,ILEX CREN SKY PENCIL(SKY SNTRY
GA,92652,#2,ILEX EMRLD COLONNADE R PP23905
OR,45092,#2,ILEX X BERRI-MAGIC R KIDS
OR,074952S,SuperTwo,ILEX X CASTLE SPIRE R PP14310
OR,45352,#2,ILEX X LITTLE RASCAL R P9999
GA,45305,#5,ILEX X NELLIE R STEVENS
GA,7945,#5,ILEX X OAK LEAF TM P9487
OR,19652,#2,ILEX X RED BEAUTY R PP14750
OR,23965,#5,ILEX X SANTA'S DELIGHT R
CA,46631,#1,JASMINUM SAMBAC GRAND DUKE
CA,46632,#2,JASMINUM SAMBAC GRAND DUKE
CA,57291,#1,LAURUS NOBILIS
OR,057294P,"4"" Pot",LAURUS NOBILIS
CA,05729EPT,"7"" Terra Cotta PATIO TREE",LAURUS NOBILIS
OR,62185,#5,MYRICA PENSYLVANICA
CA,63231,#1,OSMANTHUS HET GOSHIKI
OR,63232,#2,OSMANTHUS HET GOSHIKI
CA,64855,#5,PHOTINIA X FRASERI
OR,65161,#1,PIERIS J LITTLE HEATH
OR,49495,#5,PIERIS J TIKI
OR,65081,#1,PIERIS X FOREST FLAME
OR,19095,#5,PRUNUS LAUR ETNA
OR,67172,#2,PRUNUS LAUR SCHIPKAENSIS
CA,68602,#2,PYRACANTHA X RED ELF TM
OR,20491,#1,ROSMARINUS OFF ARP
CA,07028EPT,"7"" Terra Cotta PATIO TREE",ROSMARINUS OFF TUSCAN BLUE
CA,07028EST,"7"" Terra Cotta STAKED",ROSMARINUS OFF TUSCAN BLUE
OR,70501,#1,SARCOCOCCA HUMILIS
OR,36682,#2,SKIMMIA J BERRI MAGIC R
OR,71082,#2,SKIMMIA REEVESIANA
OR,74202,#2,VIB DAVIDII
GA,77231,#1,YUCCA FIL GOLDEN SWORD
CA,77225,#5,YUCCA FIL IVORY TOWER
GA,3151,#1,ASPARAGUS MYERS
GA,83621,#1,FERN-ADIANTUM PEDATUM
CA,18762,#2,FERN-ATHYRIUM GHOST
CA,28121,#1,FERN-BLECHNUM SPICANT
OR,21222,#2,FERN-DRYOPTERIS ERY BRILLIANCE
CA,36452,#2,FERN-MATTEUCCIA STRUTHIOPTERIS
OR,5081,#1,FERN-POLYSTICHUM X DYCEI
OR,25212,#2,BAM-FARGESIA RUFA (CLUMP)
GA,59031,#1,GR-ACORUS GRAMINEUS OBOROZUKI
CA,67791,#1,GR-BOUT BLOND AMBITION PP22048
CA,14011,#1,GR-CAL ACUT KARL FOERSTER
OR,22591,#1,GR-CAREX ELATA BOWLES GOLDEN
OR,22601,#1,GR-CAREX MORROWII AUREA VAR
GA,36671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE
GA,03667UT,LittleOne,GR-FESTUCA GLAUCA ELIJAH BLUE
CA,61745,#5,GR-MIS SIN CABARET
CA,61561,#1,GR-MIS SIN GRACILLIMUS
CA,61661,#1,GR-MIS SIN MORNING LIGHT
CA,64261,#1,GR-PENN ALO HAMELN
GA,63611,#1,GR-PENN ALO MOUDRY
GA,22202,#2,GR-PENN SET FIREWORKS PP18504
GA,64271,#1,GR-PENN SET RUBRUM
GA,64275,#5,GR-PENN SET RUBRUM
GA,06427UT,LittleOne,GR-PENN SET RUBRUM
GA,9671,#1,LIRIOPE MUSCARI BIG BLUE
GA,9791,#1,LIRIOPE MUSCARI VARIEGATA
GA,63111,#1,OPHIOPOGON EBONY KNIGHT TM
OR,39021,#1,ANEMONE X WILD SWAN TM PP23132
CA,66342,#2,ASCLEPIAS CUR SILKY GOLD
CA,21912,#2,ASCLEPIAS RED BUTTERFLIES
GA,29211,#1,CANNA TROP BLACK TM PP21350
GA,22481,#1,CANNA TROPICANNA TM PP10569
OR,39512,#2,CIMI S BLACK NEGLIGEE (ACTAEA)
GA,62005,#5,ENSETE MAURELII
OR,33202,#2,GUNNERA TINCTORIA
GA,39991,#1,HELLE X IVORY PRINCE PP16199
OR,76281,#1,HEM RUBY SPIDER
OR,16461,#1,IRIS EN BUTTERFLIES IN FLIGHT
OR,16471,#1,IRIS EN CASCADE SPICE
OR,44011,#1,IRIS EN VARIEGATA
GA,056953PT,#3 PATIO TREE,LANTANA CONFETTI TM
GA,009093PT,#3 PATIO TREE,LANTANA NEW GOLD
GA,057153PT,#3 PATIO TREE,LANTANA SUNBURST TM
GA,057201SPT,SuperOne TM PATIO TREE,LANTANA TANGERINE TM
CA,57311,#1,LAVANDULA ANG MUNSTEAD
CA,28481,#1,LAVANDULA THUMBELINA LE P15231
OR,93191,#1,PACHYSANDRA WINDCLIFF FRAGRANT
OR,68585,#5,PAEONIA ITOH MORNING LILAC
OR,52595,#5,PAEONIA ITOH TAKARA TM PP22374
OR,47075,#5,PAEONIA ITOH YUMI TM PAF (YLW)
OR,35611,#1,PULMONARIA TREVI FOUNTN P13047
OR,76131,#1,VINCA MINOR BOWLES'
OR,07613UT,LittleOne,VINCA MINOR BOWLES'
GA,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477
GA,078772S,SuperTwo,AZ BLM-A-THON TM RED PP21562
OR,19765,#5,RHOD (H-1) RTR FIRESTORM
OR,19772,#2,RHOD (H-1) RTR HOOPLA
OR,19792,#2,RHOD (H-1) RTR HUSKYMANIA
OR,20195,#5,RHOD (H-1) RTR MARCH MADNESS
OR,19742,#2,RHOD (H-1) RTR SLAM DUNK
OR,10202,#2,RHOD (H-2) SCARLET WONDER DWRF
OR,26382,#2,RHOD (H-3) RAC ROCK ROSE
GA,36292,#2,ROSA FLWR CAR R AMBER PPAF
CA,036295PT,#5 PATIO TREE,ROSA FLWR CAR R AMBER PPAF
CA,79572,#2,ROSA FLWR CAR R PNK SPLSH PPAF
GA,36382,#2,ROSA FLWR CAR R PNK SUP P16276
CA,036385PT,#5 PATIO TREE,ROSA FLWR CAR R PNK SUP P16276
GA,36312,#2,ROSA FLWR CAR R SCARLET P17373
CA,036315PT,#5 PATIO TREE,ROSA FLWR CAR R SCARLET P17373
CA,037125ST,#5 STAKED,ROSA-CL-CRIMSON SKY TM PP18564
CA,051105ST,#5 STAKED,ROSA-CL-EDEN CLIMBER R
CA,051095ST,#5 STAKED,ROSA-CL-GARDEN SUN TM PPAF
OR,21245,#5,ACER PAL BUTTERFLY
OR,000952ST,#2 STAKED,ACER PAL CRIMSON QUEEN
OR,1025,#5,ACER PAL SANGOKAKU
OR,27795,#5,CORNUS KOUSA SATOMI
OR,19615,#5,CORNUS KOUSA WOLF EYES
OR,30395,#5,CORNUS X VENUS R PP16309
CA,36725,#5,FICUS CAR BLACK JACK
CA,36785,#5,FICUS CAR BROWN TURKEY
CA,36795,#5,FICUS CAR KADOTA
OR,6665,#5,HEPTACODIUM MICONIOIDES
CA,20107,#7,MAG G TEDDY BEAR R PP13049
GA,012705PT,#5 PATIO TREE,BOUG BARBARA KARST
GA,013265PT,#5 PATIO TREE,BOUG OO-LA-LA R
GA,013055PT,#5 PATIO TREE,BOUG PURPLE QUEEN R
CA,022712ST,#2 STAKED,CAMPSIS BALBOA SUNSET R
CA,022552ST,#2 STAKED,CAMPSIS MADAME GALEN
OR,55211,#1 STAKED,CLEM SIEBOLDII
OR,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF
OR,48741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS
CA,27211,#1 STAKED,CLEM VIT ETOILE VIOLETTE
OR,15901,#1 STAKED,CLEM X BLUE LIGHT R PP15953
OR,27221,#1 STAKED,CLEM X COMTESSE DE BOUCHAUD
OR,27011,#1 STAKED,CLEM X ERNEST MARKHAM
OR,44481,#1 STAKED,CLEM X JACKMANII SUPERBA
OR,27061,#1 STAKED,CLEM X MULTI-BLUE
OR,27441,#1 STAKED,CLEM X NELLY MOSER
OR,27461,#1 STAKED,CLEM X NIOBE
OR,27481,#1 STAKED,CLEM X RAMONA
OR,27491,#1 STAKED,CLEM X ROUGE CARDINAL
OR,26371,#1 STAKED,CLEM X TOKI
OR,56365,#5 STAKED,HOLBOELLIA COR CATHEDRAL GEM
OR,88402,#2,HUMULUS X NEWPORT
OR,75631,#1 STAKED,HYD INTEG TAIPING SHAN CLIMBNG
OR,35012,#2 STAKED,HYD PET MIRANDA
OR,41705,#5 STAKED,HYD PETIOLARIS
CA,059051ST,#1 STAKED,LONICERA JAP HALLIANA
CA,059101ST,#1 STAKED,LONICERA JAP PURPUREA
CA,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240
CA,71961,#1 STAKED,PARTH HENRYANA
OR,71021,#1 STAKED,SCHIZOPHRAGMA HYD MOONLIGHT
CA,72031,#1 STAKED,VIGNA CARACALLA
CA,76771,#1 STAKED,WISTERIA FL TEXAS PURPLE
CA,76775,#5 STAKED,WISTERIA FL TEXAS PURPLE
OR,76815,#5 STAKED,WISTERIA FRU AMETHYST FALLS
CA,76851,#1 STAKED,WISTERIA SINENSIS
,,Totals:,
