Loc,Item,Plant Name,CAT,,,,,,,,,UPC#
160000,12101,BER T HELMOND PILLAR,DCS,,,,,,,,,14949121016
160000,62935,BER T ORANGE ROCKET PP18411,DCS,,,,,,,,,14949324127
160000,35241,BER T PYGMY RUBY TM,DCS,,,,,,,,,14949214602
160000,12205,BER T ROSE GLOW,DCS,,,,,,,,,14949122051
160000,12211,BER T ROYAL BURGUNDY R P9461,DCS,,,,,,,,,14949122112
160000,29665,BER T ROYAL CLOAK,DCS,,,,,,,,,
160000,11931,BER T SUNSATION R PP11332 CBR,DCS,,,,,,,,,14949119310
160000,22021,BERGENIA COR WINTERGLOW,PRN,,,,,,,,,14949043349
160000,12315,BETULA JACQUEMONTII,TRE,,,,,,,,,14949123157
160000,02471M,BETULA N SUMR CASCADE PP15150,TRE,,,,,,,,,14949213513
160000,012425MU,BETULA NIGRA,TRE,,,,,,,,,14949124352
160000,12305,BETULA PENDULA (ALBA),TRE,,,,,,,,,
160000,012305MU,BETULA PENDULA (ALBA),TRE,,,,,,,,,
160000,12365,BETULA PENDULA PURPLE RAIN R,TRE,,,,,,,,,14949123652
160000,012415SE,BETULA PENDULA YOUNGII,TRE,,,,,,,,,14949124154
170000,35381,BRUNNERA MAC JACK FROST P13859,PRN,,,,,,,,,
170000,13651,BRUNNERA MAC VARIEGATA,PRN,,,,,,,,,14949136515
160000,3015,BUXUS CHICAGOLAND GREEN R,EVS,,,,,,,,,14949012079
160000,13821,BUXUS GREEN MOUNTAIN,EVS,,,,,,,,,14949138212
160000,13893,BUXUS GREEN VELVET,EVS,,,,,,,,,14949138939
160000,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,PRN,,,,,,,,,14949010495
160000,408401,CAMPANULA CAR RAPIDO WHITE,PRN,,,,,,,,,14949413562
160000,408421,CAMPANULA GLOM GENTI BLUE PPAF,PRN,,,,,,,,,14949413586
160000,408411,CAMPANULA GLOM GENTI WHITE PAF,PRN,,,,,,,,,14949413579
160000,22361,CAMPANULA PORTENSCHLAGIANA,PRN,,,,,,,,,14949223611
160000,32431,CAMPANULA PUN CHERRY BELLS,PRN,,,,,,,,,14949312230
170000,22711,CAMPSIS BALBOA SUNSET R,VIN,,,,,,,,,14949227121
170000,022385PT,CAMPSIS FLAVA,VIN,,,,,,,,,14949426661
170000,22551,CAMPSIS MADAME GALEN,VIN,,,,,,,,,14949225516
160000,22495,CARAGANA ARB WALKER,TRE,,,,,,,,,14949224953
160000,22775,CARPINUS BET FASTIGIATA,TRE,,,,,,,,,
160000,3961,CENTRANTHUS RUBER COCCINEUS,PRN,,,,,,,,,14949053423
160000,23495,CERCIDIPHYLLUM PENDULUM,TRE,,,,,,,,,14949234952
160000,23905,CHAM OBT FILICOIDES,CON,,,,,,,,,14949239056
160000,02368M,CHAM OBT GRACILIS,CON,,,,,,,,,14949236864
160000,23792,CHAM OBT KOSTERI,CON,,,,,,,,,14949237922
160000,23912,CHAM OBT TEMPELHOF,CON,,,,,,,,,14949239124
160000,08240UT,CHAM PIS BABY BLUE,CON,,,,,,,,,14949069028
160000,24191,CHELONE HOT LIPS,PRN,,,,,,,,,14949241912
160000,39512,CIMI S BLACK NEGLIGEE (ACTAEA),PRN,,,,,,,,,14949230329
160000,90661,CLEM ALP PAMELA JACKMAN,VIN,,,,,,,,,14949906613
160000,38571,CLEM ALP STOLWIJK GOLD PP18648,VIN,,,,,,,,,14949222409
160000,414542TE,CLEM BLVRD R CHROKEE TM P24171,VIN,,,,,,,,,
160000,414522TE,CLEM BLVRD R FLEURI TM PP24172,VIN,,,,,,,,,14949429723
160000,414532TE,CLEM BLVRD R NINON TM PPAF,VIN,,,,,,,,,
160000,414552TE,CLEM BLVRD R PRSNNE TM PP16069,VIN,,,,,,,,,14949429655
160000,414562TE,CLEM BLVRD R REBECCA TM P21583,VIN,,,,,,,,,14949429662
160000,414572TE,CLEM BLVRD R ZARA TM PPAF,VIN,,,,,,,,,
160000,48041,CLEM CENTER STAR TM PP17010,PRN,,,,,,,,,14949260302
160000,414582TE,CLEM FLORA TM BIJOU TM PP15991,VIN,,,,,,,,,
160000,27251,CLEM INTEGRIFOLIA CAERULEA,PRN,,,,,,,,,
160000,27281,CLEM LAN CANDIDA,VIN,,,,,,,,,14949272817
160000,27285,CLEM LAN CANDIDA,VIN,,,,,,,,,14949272855
160000,46252,CLEM LOUISE ROWE,VIN,,,,,,,,,
160000,27472,CLEM PANICULATA,VIN,,,,,,,,,
160000,27475,CLEM PANICULATA,VIN,,,,,,,,,
160000,21792,CLEM PIILU TM PPAF,VIN,,,,,,,,,
160000,414612TE,CLEM RGL R EMPRESS TM P16072,VIN,,,,,,,,,
160000,21862,CLEM SAPPHIRE INDIGO TMPP17012,VIN,,,,,,,,,14949108727
160000,089922S,CLEM SWEET SUMMER LOVE PPAF,VIN,,,,,,,,,14949372722
160000,51481,CLEM VANCOUVER TM DANIELLE,VIN,,,,,,,,,14949340110
160000,46275,CLEM VANCOUVER TM FRGRNT STAR,VIN,,,,,,,,,
160000,48741,CLEM VANCOUVER TM STARRY NGHTS,VIN,,,,,,,,,14949339930
160000,27215,CLEM VIT ETOILE VIOLETTE,VIN,,,,,,,,,14949272152
170000,27305,CLEM VIT MADAME JULIA CORREVON,VIN,,,,,,,,,14949273050
160000,21782,CLEM X ARABELLA,VIN,,,,,,,,,14949041543
160000,15901,CLEM X BLUE LIGHT R PP15953,VIN,,,,,,,,,14949159019
160000,27225,CLEM X COMTESSE DE BOUCHAUD,VIN,,,,,,,,,14949272251
160000,27011,CLEM X ERNEST MARKHAM,VIN,,,,,,,,,14949270110
160000,27015,CLEM X ERNEST MARKHAM,VIN,,,,,,,,,14949270158
160000,33492,CLEM X HANIA,VIN,,,,,,,,,14949210314
160000,27261,CLEM X JACKMANII,VIN,,,,,,,,,
160000,44485,CLEM X JACKMANII SUPERBA,VIN,,,,,,,,,14949266083
160000,33512,CLEM X JULKA,VIN,,,,,,,,,
160000,34432,CLEM X KILIAN DONAHUE,VIN,,,,,,,,,14949212080
160000,55201,CLEM X MRS. SPENCER CASTLE,VIN,,,,,,,,,
160000,27065,CLEM X MULTI-BLUE,VIN,,,,,,,,,14949270653
160000,27441,CLEM X NELLY MOSER,VIN,,,,,,,,,14949274415
160000,27465,CLEM X NIOBE,VIN,,,,,,,,,14949274651
160000,27071,CLEM X PINK CHAMPAGNE,VIN,,,,,,,,,14949270714
160000,27482,CLEM X RAMONA,VIN,,,,,,,,,14949274828
160000,27491,CLEM X ROUGE CARDINAL,VIN,,,,,,,,,14949274910
160000,26375,CLEM X TOKI,VIN,,,,,,,,,14949214053
160000,56212,CLEM X WESTERPLATTE,VIN,,,,,,,,,14949287767
160000,22431,CLEMATIS INT BLUE RIBBONS,PRN,,,,,,,,,14949119181
160000,27531,CLETHRA ALN RUBY SPICE,DCS,,,,,,,,,14949275313
160000,81531,CLETHRA ALNIFOLIA,DCS,,,,,,,,,14949359174
170000,27961,COREOPSIS VERT MOONBEAM,PRN,,,,,,,,,
160000,02797UT,COREOPSIS VERT ZAGREB,PRN,,,,,,,,,14949122624
160000,27731,CORNUS ALBA ELEGANTISSIMA,DCS,,,,,,,,,14949277317
160000,27865,CORNUS ALBA IVORYHALO TM,DCS,,,,,,,,,14949278659
160000,45281,CORNUS ALBA PRAIRIE FIRE AUREA,DCS,,,,,,,,,14949276877
160000,45285,CORNUS ALBA PRAIRIE FIRE AUREA,DCS,,,,,,,,,14949237748
160000,27751,CORNUS ALBA SIBIRICA,DCS,,,,,,,,,14949277515
160000,27755,CORNUS ALBA SIBIRICA,DCS,,,,,,,,,14949277553
160000,77325,CORNUS MAS GOLDEN GLORY,TRE,,,,,,,,,14949370247
160000,074801S,CORNUS S ARCTIC FIRE TM P18523,DCS,,,,,,,,,14949335857
160000,27805,CORNUS SERICEA FLAVIRAMEA,DCS,,,,,,,,,14949278055
160000,27821,CORNUS SERICEA ISANTI,DCS,,,,,,,,,14949278215
160000,44705,CORNUS SERICEA KELSEYI,DCS,,,,,,,,,14949264515
160000,080841S,CORNUS STO PUCKERED UP TM PPAF,DCS,,,,,,,,,14949359525
160000,17457,CORYLUS AV CONTORTA-OWN ROOT,DCS,,,,,,,,,
160000,28501,COT APICULATUS,DCS,,,,,,,,,14949285015
160000,02855UT,COT APICULATUS TOM THUMB,DCS,,,,,,,,,
160000,29451,COT HOR PERPUSILLUS,EVS,,,,,,,,,
160000,29455,COT HOR PERPUSILLUS,EVS,,,,,,,,,14949294550
160000,16615,COTINUS C GOLDEN SPIRIT P13082,DCS,,,,,,,,,14949007839
160000,16612,COTINUS COG GOLDEN SPIRIT,DCS,,,,,,,,,
160000,28142,COTINUS COG ROYAL PURPLE,DCS,,,,,,,,,14949033562
160000,28155,COTINUS X GRACE,DCS,,,,,,,,,14949281550
160000,97231,DELOSPERMA FIRE WONDER PPAF,PRN,,,,,,,,,14949380109
160000,09723UT,DELOSPERMA FIRE WONDER PPAF,PRN,,,,,,,,,14949380116
160000,59461,DELOSPERMA MESA VERDE PP13876,PRN,,,,,,,,,14949306963
160000,05946UT,DELOSPERMA MESA VERDE PP13876,PRN,,,,,,,,,14949309612
160000,75551,DELPHINIUM G MORPHO GRAND BLUE,PRN,,,,,,,,,14949357774
160000,67631,DIANTHUS BAR OESCHBERG,PRN,,,,,,,,,14949330005
170000,73521,DIANTHUS DRAGON FRUIT PPAF,PRN,,,,,,,,,14949333280
160000,31331,DIANTHUS FROSTY FIRE,PRN,,,,,,,,,14949313312
170000,4721,DIANTHUS GRAT FIREWITCH,PRN,,,,,,,,,14949000526
170000,4741,DIANTHUS GRAT MOUNTAIN MIST,PRN,,,,,,,,,14949014462
170000,94501,DIANTHUS RASP SURPRISE PP16029,PRN,,,,,,,,,14949298503
160000,42771,DIANTHUS WINK,PRN,,,,,,,,,14949205174
160000,4801,DICENTRA BURNINGHEARTS PP20797,PRN,,,,,,,,,14949346822
160000,4901,DICENTRA SP VALENTINE R P22739,PRN,,,,,,,,,14949369500
160000,35622,DICENTRA SPEC GOLD HEART,PRN,,,,,,,,,
160000,31611,DICENTRA X LUXURIANT,PRN,,,,,,,,,14949316115
160000,412611,ECHIN DBL SCP TM CRANBRY PPAF,PRN,,,,,,,,,14949423509
160000,86821,ECHIN SMBRO TM HOT CORL P23097,PRN,,,,,,,,,14949383940
160000,87021,ECHINACEA CHEYENNE SPIRIT,PRN,,,,,,,,,14949368589
160000,54441,ECHINACEA FLAME THROWER P21932,PRN,,,,,,,,,14949423349
160000,4891,ECHINACEA KIMS KNEE HI PP12242,PRN,,,,,,,,,14949052570
160000,77121,ECHINACEA NOW CHEESIER PPAF,PRN,,,,,,,,,14949352809
160000,47511,ECHINACEA PNK DBL DLITE P18803,PRN,,,,,,,,,14949264263
160000,3121,ECHINACEA POWWOW R WHITE,PRN,,,,,,,,,14949362273
160000,2991,ECHINACEA POWWOW R WILDBERRY,PRN,,,,,,,,,
160000,43401,ECHINACEA PRAIRIE SPLENDOR,PRN,,,,,,,,,14949330012
160000,31771,ECHINACEA PUR MAGNUS,PRN,,,,,,,,,
160000,39581,ECHINACEA PUR MERLOT PP18814,PRN,,,,,,,,,14949264287
160000,18221,ECHINACEA PUR RUBY STAR,PRN,,,,,,,,,14949054079
160000,36281,ECHINACEA SUNDOWN TM PP17659,PRN,,,,,,,,,14949211670
160000,57301,ECHINACEA TOMATO SOUP,PRN,,,,,,,,,
160000,32021,EPIMEDIUM GRAND ROSE QUEEN,PRN,,,,,,,,,
160000,19311,EUO A COLE'S COMPACT,DCS,,,,,,,,,14949015636
160000,33605,EUO ALATUS COMPACTUS,DCS,,,,,,,,,
160000,33651,EUO F CANADALE GOLD,EVS,,,,,,,,,14949336519
160000,34302,EUO F GOLDEN PRINCE R,EVS,,,,,,,,,
160000,34451,EUO F IVORY JADE,EVS,,,,,,,,,14949344514
160000,34502,EUO F MOONSHADOW,EVS,,,,,,,,,
160000,19201,EUO F SUNRISE PP12341,EVS,,,,,,,,,14949015414
160000,46682,EUPATORIUM PHANTOM PP18354,PRN,,,,,,,,,14949276082
160000,35855,FAGUS SYL PURPLE FOUNTAIN,TRE,,,,,,,,,14949358559
160000,35795,FAGUS SYL RIVERSII,TRE,,,,,,,,,14949357958
160000,20515,FAGUS SYL ROHAN OBELISK(RED OB,TRE,,,,,,,,,14949022443
160000,35785,FAGUS SYL TRICOLOR,TRE,,,,,,,,,14949357859
170000,19241,FERN-ATHYRIUM F LADY IN RED,FRN,,,,,,,,,14949052129
170000,18762,FERN-ATHYRIUM GHOST,FRN,,,,,,,,,14949015308
170000,22041,FERN-ATHYRIUM REGAL RED,FRN,,,,,,,,,14949004500
160000,36261,FERN-DRYOPTERIS FELIX-MAS ROB,FRN,,,,,,,,,14949362617
160000,36455,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,,,,,,,,,
160000,077431S,FORS X SHOW OFF TM STARLT PAF,DCS,,,,,,,,,14949355848
160000,074821S,FORSYTHIA X SHOW OFF TM P19321,DCS,,,,,,,,,14949335871
160000,37105,FORSYTHIA X SPRING GLORY,DCS,,,,,,,,,14949371053
170000,68351,FRAGARIA ALBION R PP16228,PRN,,,,,,,,,
160000,68341,FRAGARIA TRISTAR,PRN,,,,,,,,,14949324745
170000,71521,FRAGARIA X AN DIAMANTE PP10435,PRN,,,,,,,,,14949329603
170000,86091,FRAGARIA X ANANASSA TOSCANA,PRN,,,,,,,,,14949371992
160000,07310UT,FRAGARIA X SAN ANDREAS PP19975,PRN,,,,,,,,,14949332689
170000,68361,FRAGARIA X SEASCAPE R,PRN,,,,,,,,,14949324806
170000,35711,GAILLARDIA ARIZONA SUN,PRN,,,,,,,,,
170000,89221,GAILLARDIA FANFARE BLZE P23494,PRN,,,,,,,,,14949372074
170000,412631,GAILLARDIA FANFARE CITRNLA PAF,PRN,,,,,,,,,
170000,37611,GAILLARDIA GOBLIN,PRN,,,,,,,,,
170000,36441,GAILLARDIA ORNGS&LEMONS P17092,PRN,,,,,,,,,14949215562
170000,48591,GAZANIA LIN COLORADO GOLD R,PRN,,,,,,,,,14949272909
160000,38122,GENISTA PIL GOLD FLASH,DCS,,,,,,,,,14949381229
160000,38241,GERANIUM CIN BALLERINA,PRN,,,,,,,,,14949382417
160000,23081,GERANIUM ROZANNE PP12175,PRN,,,,,,,,,14949043004
160000,5231,GERANIUM SANGUINEUM MAX FREI,PRN,,,,,,,,,14949052310
160000,38291,GERANIUM SANGUINEUM STRIATUM,PRN,,,,,,,,,14949382912
160000,38331,GERANIUM X CAN BIOKOVO,PRN,,,,,,,,,14949383315
160000,021454PTC,GEUM COCC BORISII,PRN,,,,,,,,,14949050798
160000,35601,GEUM COCC WERNER ARENDS,PRN,,,,,,,,,14949260562
160000,38355,GINKGO BIL AUTUMN GOLD,TRE,,,,,,,,,
160000,33975,GINKGO BIL JADE BUTTERFLIES,TRE,,,,,,,,,14949224076
170000,67791,GR-BOUT BLOND AMBITION PP22048,GRS,,,,,,,,,14949338728
160000,44552,GR-CAL ACUT AVALANCHE,GRS,,,,,,,,,14949236840
170000,14011,GR-CAL ACUT KARL FOERSTER,GRS,,,,,,,,,
160000,14072,GR-CAL ACUT OVERDAM,GRS,,,,,,,,,
170000,14081,GR-CALAMAGROSTIS  BRACHYTRICA,GRS,,,,,,,,,14949002384
160000,24091,GR-CHASMANTHIUM LATIFOLIUM,GRS,,,,,,,,,14949240915
160000,5391,GR-DESCHAMPSIA NORTHERN LIGHTS,GRS,,,,,,,,,14949053133
160000,89282,GR-DESCHAMPSIA SCHOTTLAND,GRS,,,,,,,,,14949372340
170000,31941,GR-ELYMUS ARENARIUS BLUE DUNE,GRS,,,,,,,,,14949319413
170000,28052,GR-ERIANTHUS RAVENNAE,GRS,,,,,,,,,
170000,36671,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,,,,,,,,,14949366714
160000,89291,GR-HAKONECHLOA FUBUKI,GRS,,,,,,,,,
170000,35911,GR-HAKONECHLOA MACRA ALL GOLD,GRS,,,,,,,,,14949208625
160000,03868UT,GR-HAKONECHLOA MACRA AUREOLA,GRS,,,,,,,,,14949231913
160000,39971,GR-HELICTOTRICHON SEMPERVIRENS,GRS,,,,,,,,,14949399712
160000,5451,GR-MIS SIN DIXIELAND,GRS,,,,,,,,,14949002216
160000,61761,GR-MIS SIN PURPURASCENS,GRS,,,,,,,,,14949617618
160000,61555,GR-MIS SIN STRICTUS,GRS,,,,,,,,,14949615553
170000,5621,GR-MOLINIA CAER ARUND SKYRACER,GRS,,,,,,,,,14949002926
170000,61795,GR-PAN VIR HEAVY METAL,GRS,,,,,,,,,14949617953
170000,22961,GR-PAN VIR NORTHWIND,GRS,,,,,,,,,14949385906
160000,63885,GR-PAN VIR SHENANDOAH,GRS,,,,,,,,,
170000,64261,GR-PENN ALO HAMELN,GRS,,,,,,,,,14949642610
170000,86112,GR-SCHIZACH BL HEAVN TM P17310,GRS,,,,,,,,,14949416372
170000,5811,GR-SORGHASTRUM SIOUX BLUE,GRS,,,,,,,,,14949003190
160000,12082,GR-SPOROBOLUS HETEROLEPIS,GRS,,,,,,,,,
160000,73391,GR-TYPHA MINIMA,GRS,,,,,,,,,14949416433
160000,412821,HELENIUM AUT CAN CAN,PRN,,,,,,,,,14949425190
160000,89051,HELLE WINDCLIFF DBL PINK SDLNG,PRN,,,,,,,,,14949380147
160000,89081,HELLE WINDCLIFF SLATY BLUE SDL,PRN,,,,,,,,,14949380154
160000,67241,HELLE WJEWELS R APRICOT BLUSH,PRN,,,,,,,,,14949320334
160000,67281,HELLE WJEWELS R BLACK DIAMOND,PRN,,,,,,,,,14949414972
170000,67261,HELLE WJEWELS R CHERRY BLOSSOM,PRN,,,,,,,,,14949320358
160000,67261,HELLE WJEWELS R CHERRY BLOSSOM,PRN,,,,,,,,,14949320358
160000,68041,HELLE WJEWELS R COTTON CANDY,PRN,,,,,,,,,14949323366
160000,412921,HELLE WJEWELS R DBL SLATE,PRN,,,,,,,,,14949433713
160000,96151,HELLE WJEWELS R SPRKLG DIAMOND,PRN,,,,,,,,,
160000,39991,HELLE X IVORY PRINCE PP16199,PRN,,,,,,,,,14949237410
160000,17991,HELLEBORUS RED LADY,PRN,,,,,,,,,14949006252
160000,75451,HELLEBORUS X CASSIS RED,PRN,,,,,,,,,14949364758
160000,75431,HELLEBORUS X DOUBLE FANTASY,PRN,,,,,,,,,14949369388
160000,83961,HEM CHICAGO APACHE,PRN,,,,,,,,,14949839614
160000,414791,HEM EVERYDAYLILY PINK WING PAF,PRN,,,,,,,,,14949431740
160000,40361,HEM FAIRY TALE PINK,PRN,,,,,,,,,14949403617
160000,40511,HEM HAPPY RETURNS,PRN,,,,,,,,,14949405116
160000,40071,HEM JOAN SENIOR,PRN,,,,,,,,,14949400715
160000,40091,HEM LITTLE BUSINESS,PRN,,,,,,,,,14949400913
160000,40121,HEM LITTLE GRAPETTE,PRN,,,,,,,,,14949401217
160000,40131,HEM MINI PEARL,PRN,,,,,,,,,14949401316
160000,83981,HEM PINK PLAYMATE,PRN,,,,,,,,,14949839812
160000,40631,HEM PRAIRIE BLUE EYES,PRN,,,,,,,,,14949406311
160000,46611,HEM PURPLE DE ORO,PRN,,,,,,,,,14949265550
160000,40571,HEM RED RUM,PRN,,,,,,,,,14949405710
160000,76281,HEM RUBY SPIDER,PRN,,,,,,,,,14949351802
160000,83941,HEM SILOAM GUMDROP,PRN,,,,,,,,,14949839416
170000,40111,HEM STELLA DE ORO,PRN,,,,,,,,,14949401118
160000,6631,HEM STRAWBERRY CANDY,PRN,,,,,,,,,14949053164
160000,40291,HEM SUMMER WINE,PRN,,,,,,,,,14949402917
160000,83931,HEM SWIRLING WATER,PRN,,,,,,,,,14949839317
160000,54491,HEUCHERA AUTUMN LEAVES PPAF,PRN,,,,,,,,,14949403747
160000,39611,HEUCHERA BLACK BEAUTY PP13288,PRN,,,,,,,,,
160000,97091,HEUCHERA CARNIVAL LIMEADE PPAF,PRN,,,,,,,,,14949383919
160000,97171,HEUCHERA CARNIVAL RSE GRNT PAF,PRN,,,,,,,,,14949383933
170000,87131,HEUCHERA CARNIVAL WATRMELN PAF,PRN,,,,,,,,,14949414545
160000,36711,HEUCHERA CAROLINE PP20026,PRN,,,,,,,,,14949214930
160000,403241,HEUCHERA CHERRY COLA P22967,PRN,,,,,,,,,14949427095
170000,23101,HEUCHERA FROSTED VIOLET P15085,PRN,,,,,,,,,14949043059
170000,47531,HEUCHERA GEORGIA PEACH PP19375,PRN,,,,,,,,,14949255957
170000,18661,HEUCHERA GREEN SPICE,PRN,,,,,,,,,14949008805
170000,29531,HEUCHERA LIME RICKEY PP16210,PRN,,,,,,,,,
170000,28871,HEUCHERA MARMALADE PP15945,PRN,,,,,,,,,14949065846
160000,45721,HEUCHERA MIDNIGHT ROSE PP18551,PRN,,,,,,,,,14949238431
160000,37541,HEUCHERA OBSIDIAN PP14836,PRN,,,,,,,,,14949249277
170000,47541,HEUCHERA PEACH FLAMBEE PP17195,PRN,,,,,,,,,14949272862
160000,40721,HEUCHERA PLUM PUDDING,PRN,,,,,,,,,
160000,36691,HEUCHERA ROSE MAJESTY PP17414,PRN,,,,,,,,,14949214923
170000,49711,HEUCHERA SOUTHERN COMFORT PPAF,PRN,,,,,,,,,14949276136
160000,46641,HEUCHERA VIL CARAMEL PP16560,PRN,,,,,,,,,
160000,54481,HEUCHERELLA GOLD ZEBRA PPAF,PRN,,,,,,,,,14949411063
