Loc,Order#,PO#,Item Number,Size,Plant Name,Plant Category,Zone,Common Name,Price Code,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Retail Price
OR,1488620,SPRING 2015                   ,017857,#7,CERCIS LAVENDER TWIST R P10328,TRE,05,Lavender Twist®  Redbud                                                                             ,, 2 , 3 , 165.60 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,017857,#7,CERCIS LAVENDER TWIST R P10328,TRE,05,Lavender Twist®  Redbud                                                                             ,, 2 , 7 , 386.40 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,023655,#5,CHAM NOOT PENDULA,CON,05,Weeping Nootka Cypress                                                                              ,, 5 , 5 , 170.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,023902,#2,CHAM OBT FILICOIDES,CON,04,Fernspray False Cypress                                                                             ,, 5 , 12 , 127.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,023905,#5,CHAM OBT FILICOIDES,CON,04,Fernspray False Cypress                                                                             ,, 5 , 15 , 360.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,023682,#2,CHAM OBT GRACILIS,CON,04,Slender Hinoki False Cypress                                                                        ,, 5 , 15 , 159.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,023932,#2,CHAM OBT TORULOSA,CON,04,Twisted Hinoki Cypress                                                                              ,, 5 , 7 , 81.20 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,082455,#5,CHAM PIS GOLDEN MOP,CON,04,Golden Mop Threadleaf False Cypress                                                                 ,, 5 , 20 , 432.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,074783S,Super 3,CHAM PIS SOFT SERVE R PPAF,CON,05,Soft Serve®  False Cypress                                                                          ,, 5 , 10 , 138.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,014412,#2,CHAM PIS VINTAGE GOLD,CON,03,Vintage Gold False Cypress                                                                          ,, 5 , 1 , 11.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,027523,#3,CLETHRA ALN HUMMINGBIRD,DCS,04,Hummingbird Summersweet                                                                             ,, 5 , 30 , 384.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,020093,#3,CLETHRA ALN SIXTEEN CANDLES,DCS,04,Sixteen Candles Summersweet                                                                         ,, 5 , 30 , 384.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074472S,SuperTwo,CLETHRA ALN VNLA SPICE TM PPAF,DCS,04,Vanilla Spice®  Summersweet                                                                         ,, 5 , 20 , 272.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,027862,#2,CORNUS ALBA IVORYHALO TM,DCS,03,Ivory Halo®  Dogwood                                                                                ,, 5 , 40 , 512.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,027875,#5,CORNUS ALTERNIFOLIA,TRE,04,Pagoda Dogwood                                                                                      ,, 5 , 10 , 228.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,074802S,SuperTwo,CORNUS S ARCTIC FIRE TM P18523,DCS,03,Arctic Fire™  Red Twig Dogwood                                                                      ,, 5 , 9 , 122.40 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,027587,#7,CORNUS X STELLAR PINK R,TRE,05,Stellar Pink®  Dogwood                                                                              ,, 2 , 5 , 212.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,030397,#7,CORNUS X VENUS R PP16309,TRE,05,Venus®  Dogwood                                                                                     ,, 2 , 6 , 254.40 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,028553,#3,COT APICULATUS TOM THUMB,DCS,04,Tom Thumb Cranberry Cotoneaster                                                                     ,, 5 , 50 , 580.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,028145,#5,COTINUS COG ROYAL PURPLE,DCS,04,Royal Purple Smoke Tree                                                                             ,, 5 , 10 , 212.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,033602,#2,EUO ALATUS COMPACTUS,DCS,04,Dwarf Burning Bush                                                                                  ,, 5 , 30 , 342.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,034452,#2,EUO F IVORY JADE,EVS,04,Ivory Jade Wintercreeper                                                                            ,, 5 , 5 , 54.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,034502,#2,EUO F MOONSHADOW,EVS,04,Moonshadow Wintercreeper                                                                            ,, 5 , 30 , 336.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,077431S,SuperOne TM,FORS X SHOW OFF TM STARLT PAF,DCS,04,Show Off™  Starlet Forsythia                                                                        ,, 10 , 20 , 168.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,033975,#5,GINKGO BIL JADE BUTTERFLIES,TRE,04,Jade Butterfly Maidenhair Tree                                                                      ,, 5 , 10 , 280.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,014011,#1,GR-CAL ACUT KARL FOERSTER,GRS,04,Foerster's Feather Reed Grass                                                                       ,, 10 , 25 , 135.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,014012,#2,GR-CAL ACUT KARL FOERSTER,GRS,04,Foerster's Feather Reed Grass                                                                       ,, 5 , 50 , 600.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,014015,#5,GR-CAL ACUT KARL FOERSTER,GRS,04,Foerster's Feather Reed Grass                                                                       ,, 5 , 20 , 308.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,GRS,04,Golden Japanese Forest Grass                                                                        ,, 10 , 125 , 850.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,039285,#5,HAMAMELIS X INT ARNOLD PROMISE,DCS,05,Arnold Promise Witch Hazel                                                                          ,, 5 , 10 , 204.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,039235,#5,HAMAMELIS X INT JELENA,DCS,05,Jelena Witch Hazel                                                                                  ,, 5 , 10 , 204.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,002115,#5,HIB SYR APHRODITE,DCS,05,Aphrodite Rose Of Sharon                                                                            ,, 5 , 10 , 168.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,074502S,SuperTwo,HIB SYR BLU CHIFFON TM PP20574,DCS,05,Blue Chiffon™  Rose of Sharon                                                                       ,, 5 , 30 , 408.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,083995,#5,HIB SYR BLUE BIRD-GRAFTED,DCS,05,Blue Bird Rose Of Sharon                                                                            ,, 5 , 7 , 148.40 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,403453,#3,HIB SYR FIJI,DCS,05,Fiji Rose of Sharon                                                                                 ,, 5 , 15 , 213.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,074493S,Super 3,HIB SYR LIL' KIM TM PP19547,DCS,05,Lil' Kim™  Rose of Sharon                                                                           ,, 5 , 20 , 284.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,002305,#5,HIB SYR MINERVA,DCS,05,Minerva Rose Of Sharon                                                                              ,, 5 , 10 , 168.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,002357PT,#7 PATIO TREE,HIB SYR RED HEART,DCS,05,Red Heart Rose of Sharon                                                                            ,, 2 , 5 , 216.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,077442S,SuperTwo,HYD ABRACADABRA TM ORB PP21635,DCS,05,Abracadabra™  Orb Hydrangea                                                                         ,, 5 , 5 , 68.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,063832,#2,HYD ANG GOLDEN CRANE R,DCS,06,Golden Crane®  Hydrangea                                                                            ,, 5 , 40 , 528.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,041713,#3,HYD ARB ANNABELLE,DCS,04,Annabelle Hydrangea                                                                                 ,, 5 , 30 , 384.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,074522S,SuperTwo,HYD ARB INCREDIBALL R PP20571,DCS,03,Incrediball®  Smooth Hydrangea                                                                      ,, 5 , 30 , 408.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074562S,SuperTwo,HYD MAC CTYLN TM PARIS PP10906,DCS,05,Cityline®  Paris Bigleaf Hydrangea                                                                  ,, 5 , 15 , 204.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074542S,SuperTwo,HYD MAC CTYLN TM RIO,DCS,05,Cityline®  Rio Bigleaf Hydrangea                                                                    ,, 5 , 30 , 408.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074572S,SuperTwo,HYD MAC CTYLN TM VENICE P10928,DCS,05,Cityline®  Venice Bigleaf Hydrangea                                                                 ,, 5 , 13 , 176.80 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,077462S,SuperTwo,HYD MAC LD R BIG EASY PPAF,DCS,05,Let's Dance®  Big Easy Hydrangea                                                                    ,, 5 , 40 , 544.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,DCS,05,Let's Dance®  Moonlight Hydrangea                                                                   ,, 5 , 40 , 544.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074595,#5,HYD MAC LD R MOONLIGHT PP20020,DCS,05,Let's Dance®  Moonlight Hydrangea                                                                   ,, 5 , 30 , 576.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,DCS,05,Let's Dance®  Starlight Bigleaf Hydrangea                                                           ,, 5 , 50 , 680.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,074585,#5,HYD MAC LD R STARLIGHT PP20019,DCS,05,Let's Dance®  Starlight Bigleaf Hydrangea                                                           ,, 5 , 50 , 960.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,080952S,SuperTwo,HYD PAN BOBO R PP22782,DCS,03,Bobo®  Hardy Hydrangea                                                                              ,, 5 , 17 , 231.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,089945,#5,HYD PAN FIRE LIGHT TM PPAF,DCS,03,Fire Light™  Hardy Hydrangea                                                                        ,, 5 , 30 , 576.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,089945,#5,HYD PAN FIRE LIGHT TM PPAF,DCS,03,Fire Light™  Hardy Hydrangea                                                                        ,, 5 , 6 , 115.20 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,DCS,03,Limelight Hardy Hydrangea                                                                           ,, 5 , 30 , 408.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,DCS,03,Little Lime™  Hardy Hydrangea                                                                       ,, 5 , 30 , 408.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,074612S,SuperTwo,HYD PAN PINKY WINKY TM PP16166,DCS,03,Pinky Winky™  Hardy Hydrangea                                                                       ,, 5 , 30 , 408.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,074603S,Super 3,HYD PAN QUICK FIRE R PP16812,DCS,03,Quick Fire®  Hardy Hydrangea                                                                        ,, 5 , 14 , 198.80 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,074607PT,#7 PATIO TREE,HYD PAN QUICK FIRE R PP16812,DCS,03,Quick Fire®  Hardy Hydrangea                                                                        ,, 2 , 9 , 388.80 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,404043,#3,HYD PAN VNLA STRWBRY TM P20670,DCS,04,First Editions®  Vanilla Strawberry™  Panicle Hy                                                    ,, 5 , 20 , 284.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,404057,#7,HYD PAN WHT DIAMONDS R P19082,DCS,04,First Editions®  White Diamonds™  Panicle Hydran                                                    ,, 2 , 10 , 260.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,DCS,05,Tuff Stuff™  Reblooming Mountain Hydrangea                                                          ,, 5 , 25 , 340.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,DCS,05,Tuff Stuff™  Reblooming Mountain Hydrangea                                                          ,, 5 , 25 , 340.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,074955,#5,ILEX X CASTLE SPIRE R PP14310,EVS,05,Castle Spire®  Blue Holly                                                                           ,, 5 , 20 , 392.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,074943S,Super 3,ILEX X CASTLE WALL TM PP14308,EVS,05,Castle Wall™  Blue Holly                                                                            ,, 5 , 13 , 200.20 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,019652,#2,ILEX X RED BEAUTY R PP14750,EVS,06,Red Beauty®  Holly                                                                                  ,, 5 , 20 , 264.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,019655,#5,ILEX X RED BEAUTY R PP14750,EVS,06,Red Beauty®  Holly                                                                                  ,, 5 , 20 , 376.00 ,     ,     ,     ,     
GA,1489540,SPRING 2015                   ,019657,#7,ILEX X RED BEAUTY R PP14750,EVS,06,Red Beauty®  Holly                                                                                  ,, 2 , 10 , 472.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,021092,#2,ILEX X SCALLYWAG TM PP21941,EVS,05,Scallywag™  Holly                                                                                   ,, 5 , 20 , 272.00 ,     ,     ,     ,     
OR,1488620,SPRING 2015                   ,021093,#3,ILEX X SCALLYWAG TM PP21941,EVS,05,Scallywag™  Holly                                                                                   ,, 5 , 30 , 588.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,046493S,Super 3,ITEA VIR LITTLE HENRY R P10988,DCS,05,Little Henry®  Dwarf Virginia Sweetspire                                                            ,, 5 , 50 , 710.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R,CON,03,Mint Julep®  Juniper                                                                                ,, 2 , 2 , 121.60 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,048135,#5,JUN C SEA OF GOLD R PP17622,CON,03,Sea Of Gold®  Juniper                                                                               ,, 5 , 30 , 450.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,049252,#2,JUN H BLUE CHIP,CON,03,Blue Chip Juniper                                                                                   ,, 5 , 7 , 74.20 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,051752,#2,JUN SA CALGARY CARPET R,CON,03,Calgary Carpet®  Juniper                                                                            ,, 5 , 26 , 275.60 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,051755,#5,JUN SA CALGARY CARPET R,CON,03,Calgary Carpet®  Juniper                                                                            ,, 5 , 20 , 292.00 ,     ,     ,     ,     
CA,1489537,SPRING 2015                   ,053305,#5,JUN SC WICHITA BLUE,CON,03,Wichita Blue Juniper                                                                                ,, 5 , 20 , 424.00 ,     ,     ,     ,     
CT,1488621,SPRING 2015                   ,053392,#2,JUN SQUA BLUE STAR,CON,04,Blue Star Juniper                                                                                   ,, 5 , 30 , 318.00 ,     ,     ,     ,     
