GA,061573,#3,GR-MIS SIN VARIEGATUS, ,Variegated Japanese Silver Grass                                                                    ,GRS,05,    , 15.75 ,, 13.39 , 2.79 , 16.18 ,     ,     , 5 , 50 , 669.50 , 300 ,     ,     ,     ,Now         ,,
GA,064263,#3,GR-PENN ALO HAMELN, ,Dwarf Fountain Grass                                                                                ,GRS,04,    , 15.50 ,, 13.18 , 2.79 , 15.97 ,     ,     , 5 , 50 , 659.00 , 173 ,     ,     ,     ,Now         ,,
GA,092752,#2,HYD BLUE ENCHANTRESS R PP25209, ,Blue Enchantress®  Hydrangea                                                                        ,DCS,05,2013, 17.00 ,, 10.20 , 1.75 , 11.95 ,     ,     , 5 , 100 ," 1,020.00 ",     ,     ,     ,     ,04/15/15    ,,
GA,092755,#5,HYD BLUE ENCHANTRESS R PP25209, ,Blue Enchantress®  Hydrangea                                                                        ,DCS,05,2013, 24.00 ,, 14.40 , 3.49 , 17.89 ,     ,     , 5 , 75 ," 1,080.00 "," 1,470 ",     ,     ,     ,Now         ,,
GA,056953PT,#3 PATIO TREE,LANTANA CONFETTI TM, ,Confetti™  Spreading Lantana                                                                        ,PRN,09,1958, 35.50 ,, 30.18 , 4.19 , 34.37 ,     ,     , 2 , 20 , 603.60 , 86 ,     ,     ,     ,Now         ,,
GA,009093PT,#3 PATIO TREE,LANTANA NEW GOLD, ,New Gold Lantana                                                                                    ,PRN,10,    , 35.50 ,, 30.18 , 4.19 , 34.37 ,     ,     , 2 , 20 , 603.60 , 660 ,     ,     ,     ,Now         ,,
GA,061191,#1 STAKED,MAN PNK PRFT R P11787-P6300547, ,Pink Parfait®  Mandevilla                                                                           ,VIN,10,2000, 9.00 ,, 7.65 , 0.70 , 8.35 ,     ,     , 10 , 30 , 229.50 ,     ,     ,     ,     ,05/01/15    ,,
GA,09238UT,LittleOne,MAN SUN PAR R GARDEN CRIMSON, ,Sun Parasol®  Garden Crimson Mandevilla                                                             ,VIN,10,2014, 4.20 ,, 3.57 , 0.52 , 4.09 ,     ,     , 16 , 80 , 285.60 ,     ,     ,     ,     ,03/01/15    ,,
GA,061235,#5 STAKED,MAN SUN PAR R GNT CRIM P17736, ,Sun Parasol®  Giant Crimson Mandevilla                                                              ,VIN,10,2008, 27.50 ,, 23.38 , 3.49 , 26.87 ,     ,     , 5 , 30 , 701.40 ,     ,     ,     ,     ,05/15/15    ,,
GA,066371,#1,PLUMBAGO ROYAL CAPE R, ,Royal Cape®  Plumbago                                                                               ,EVS,09,1992, 7.00 ,, 5.95 , 0.70 , 6.65 ,     ,     , 10 , 100 , 595.00 ," 1,388 ",     ,     ,     ,Now         ,,
GA,036312,#2,ROSA FLWR CAR R SCARLET P17373, ,Flower Carpet®  Scarlet Groundcover Rose                                                            ,ROS,05,2007, 15.50 ,, 13.18 , 1.75 , 14.93 ,     ,     , 5 , 30 , 395.40 ,     ,     ,     ,     ,04/01/15    ,,
GA,042822S,SuperTwo,ROSA KNCK OUT R DBL PNK P18507, ,Pink Double Knock Out®  Rose                                                                        ,ROS,04,2009, 13.50 ,, 11.48 , 2.33 , 13.81 ,     ,     , 5 , 100 ," 1,148.00 ",     ,     ,     ,     ,03/15/15    ,,
GA,089122,#2,ROSA SUNROSA TM YELLOW, ,Sunrosa™  Yellow Shrub Rose                                                                         ,ROS,05,2013, 15.50 ,, 13.18 , 1.75 , 14.93 ,     ,     , 5 , 30 , 395.40 ,     ,     ,     ,     ,03/15/15    ,,
GA,062691,#1,ROSMARINUS BLUE SPIRES, ,Blue Spires Rosemary                                                                                ,EVS,06,    , 6.75 ,, 5.74 , 0.70 , 6.44 ,     ,     , 10 , 100 , 574.00 , 195 ,     ,     ,     ,Now         ,,
GA,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141, ,BrazelBerries®  Raspberry Shortcake™  Dwarf Thor                                                    ,DCS,05,2013, 16.50 ,, 14.03 , 1.75 , 15.78 ,     ,     , 5 , 50 , 701.50 ,     ,     ,     ,     ,04/15/15    ,,
GA,06502UT,LittleOne,SEDUM DASYPHYLLUM MAJOR, ,Corsican Stonecrop                                                                                  ,PRN,05,2011, 3.10 ,, 2.64 , 0.52 , 3.16 ,     ,     , 16 , 16 , 42.24 ,     ,     ,     ,     ,03/01/15    ,,
GA,03028UT,LittleOne,SEDUM DRAGON'S BLOOD, ,Dragon's Blood Stonecrop                                                                            ,PRN,03,    , 3.10 ,, 2.64 , 0.52 , 3.16 ,     ,     , 16 , 16 , 42.24 ,     ,     ,     ,     ,04/01/15    ,,
GA,06507UT,LittleOne,SEDUM KAMTSCHATICUM, ,Stonecrop                                                                                           ,PRN,04,    , 3.10 ,, 2.64 , 0.52 , 3.16 ,     ,     , 16 , 16 , 42.24 ,     ,     ,     ,     ,03/20/15    ,,
GA,04487UT,LittleOne,SEDUM RUP ANGELINA PPAF, ,Angelina Stonecrop                                                                                  ,PRN,03,2007, 3.10 ,, 2.64 , 0.52 , 3.16 ,     ,     , 16 , 16 , 42.24 , 396 ,     ,     ,     ,Now         ,,
GA,06561UT,LittleOne,SEMPERVIVUM KREBS DES ROSE, ,Krebs Desert Rose Hens and Chicks                                                                   ,PRN,04,2011, 3.10 ,, 2.64 , 0.52 , 3.16 ,     ,     , 16 , 16 , 42.24 , 312 ,     ,     ,     ,Now         ,,
GA,070051ST,#1 STAKED,TRACH JASMINOIDES, ,Star Jasmine                                                                                        ,VIN,08,    , 7.25 ,, 6.16 , 0.70 , 6.86 ,     ,     , 10 , 30 , 184.80 , 741 ,     ,     ,     ,Now         ,,
GA,056232,#2,VACC BOUNTIFUL BLUE R PP19381, ,Bountiful Blue®  Blueberry                                                                          ,DCS,06,2010, 15.50 ,SPRSPCL, 9.30 , 1.75 , 11.05 ,     ,     , 5 , 100 , 930.00 , 49 ,     ,     ,     ,Now         ,,
,,,Totals:,,,,,,,,,,,,,," 1,555 "," 20,430.40 ",,,,,,,
